com.samsung.shealth.step_daily_trend,6307003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
5fec429f-aa72-4463-908e-052fd6ad699c.binning_data.json,2024-06-02 17:50:15.519,2024-06-02 17:50:15.519,com.sec.android.app.shealth,0,4223,1.5914533,3356.1702,134.20999,XLy3VBYEN4,com.sec.android.app.shealth,5fec429f-aa72-4463-908e-052fd6ad699c,1696982400000,
4c0a175e-1be5-462e-b699-496dab93cd25.binning_data.json,2024-06-02 17:50:15.525,2024-06-02 17:50:15.525,com.sec.android.app.shealth,0,978,1.6588281,790.42004,31.789997,XLy3VBYEN4,com.sec.android.app.shealth,4c0a175e-1be5-462e-b699-496dab93cd25,1697587200000,
421812c1-74cc-4426-996a-0d37e66b9a35.binning_data.json,2024-06-02 17:50:15.520,2024-06-02 17:50:15.520,com.sec.android.app.shealth,0,3862,1.4781739,2986.92,117.81999,XLy3VBYEN4,com.sec.android.app.shealth,421812c1-74cc-4426-996a-0d37e66b9a35,1697068800000,
46926f1f-e6e1-4d15-ba17-08e275648d16.binning_data.json,2024-06-02 17:50:15.521,2024-06-02 17:50:15.521,com.sec.android.app.shealth,0,854,1.5274585,668.27,25.639996,XLy3VBYEN4,com.sec.android.app.shealth,46926f1f-e6e1-4d15-ba17-08e275648d16,1697155200000,
1dbc73de-e50f-40cd-bee7-3f212f0c9495.binning_data.json,2024-06-02 17:50:15.527,2024-06-02 17:50:15.527,com.sec.android.app.shealth,0,10931,1.6018027,8747.87,351.50998,XLy3VBYEN4,com.sec.android.app.shealth,1dbc73de-e50f-40cd-bee7-3f212f0c9495,1697932800000,
e537cc5d-5da4-45f5-aae2-8ba66843d5d4.binning_data.json,2024-06-02 17:50:15.528,2024-06-02 17:50:15.528,com.sec.android.app.shealth,0,869,1.3886917,643.88,26.359995,XLy3VBYEN4,com.sec.android.app.shealth,e537cc5d-5da4-45f5-aae2-8ba66843d5d4,1698192000000,
9de5071c-c096-4429-b929-4dce67867299.binning_data.json,2024-06-02 17:50:15.528,2024-06-02 17:50:15.528,com.sec.android.app.shealth,0,8556,1.3571435,6195.37,261.97995,XLy3VBYEN4,com.sec.android.app.shealth,9de5071c-c096-4429-b929-4dce67867299,1698278400000,
82496c99-5f3e-4400-bdb1-eefd58503d82.binning_data.json,2024-06-02 17:50:15.522,2024-06-02 17:50:15.522,com.sec.android.app.shealth,0,10257,1.5315106,8067.4,322.09998,XLy3VBYEN4,com.sec.android.app.shealth,82496c99-5f3e-4400-bdb1-eefd58503d82,1697241600000,
8cb3209b-ffd8-49e9-ab77-9ae20490c855.binning_data.json,2024-06-02 17:50:15.527,2024-06-02 17:50:15.527,com.sec.android.app.shealth,0,3495,1.4365101,2573.11,108.369995,XLy3VBYEN4,com.sec.android.app.shealth,8cb3209b-ffd8-49e9-ab77-9ae20490c855,1698105600000,
5b974101-3b5d-4bcc-9b0c-d4c64c6f4b4e.binning_data.json,2024-06-02 17:50:15.530,2024-06-02 17:50:15.530,com.sec.android.app.shealth,0,6517,1.4488764,4806.23,199.72998,XLy3VBYEN4,com.sec.android.app.shealth,5b974101-3b5d-4bcc-9b0c-d4c64c6f4b4e,1698796800000,
f34546c5-3045-4d8a-a1e2-a3b6dfbda965.binning_data.json,2024-06-02 17:50:15.529,2024-06-02 17:50:15.529,com.sec.android.app.shealth,0,5360,1.4264153,3952.1902,170.43999,XLy3VBYEN4,com.sec.android.app.shealth,f34546c5-3045-4d8a-a1e2-a3b6dfbda965,1698624000000,
b61994c0-a839-4ed4-bd5f-688069784007.binning_data.json,2024-06-02 17:50:15.526,2024-06-02 17:50:15.526,com.sec.android.app.shealth,0,11314,1.5661598,9052.1,369.53998,XLy3VBYEN4,com.sec.android.app.shealth,b61994c0-a839-4ed4-bd5f-688069784007,1697846400000,
51186a30-5afe-4d2f-a960-db661cd32099.binning_data.json,2024-06-02 17:50:15.528,2024-06-02 17:50:15.528,com.sec.android.app.shealth,0,3305,1.4626054,2488.39,109.869995,XLy3VBYEN4,com.sec.android.app.shealth,51186a30-5afe-4d2f-a960-db661cd32099,1698364800000,
f5419a92-19a2-4708-a21e-0cc6572f392e.binning_data.json,2024-06-02 17:50:15.526,2024-06-02 17:50:15.526,com.sec.android.app.shealth,0,4565,1.5403942,3627.46,145.90999,XLy3VBYEN4,com.sec.android.app.shealth,f5419a92-19a2-4708-a21e-0cc6572f392e,1697760000000,
19b89116-987f-43e1-a770-2fd24eb44534.binning_data.json,2024-06-02 17:50:15.526,2024-06-02 17:50:15.526,com.sec.android.app.shealth,0,7964,1.4373951,6186.01,249.18999,XLy3VBYEN4,com.sec.android.app.shealth,19b89116-987f-43e1-a770-2fd24eb44534,1697673600000,
ccbe628d-935f-4829-bb74-4eb99e5ea9bd.binning_data.json,2024-06-02 17:50:15.529,2024-06-02 17:50:15.529,com.sec.android.app.shealth,0,8850,1.4496006,6551.12,278.91998,XLy3VBYEN4,com.sec.android.app.shealth,ccbe628d-935f-4829-bb74-4eb99e5ea9bd,1698451200000,
632991ee-b245-4c54-bd46-37e78e33f265.binning_data.json,2024-06-02 17:50:15.529,2024-06-02 17:50:15.529,com.sec.android.app.shealth,0,4342,1.5083393,3358.54,135.72,XLy3VBYEN4,com.sec.android.app.shealth,632991ee-b245-4c54-bd46-37e78e33f265,1698710400000,
11dc8226-9592-49d8-a785-1affc5f7b24c.binning_data.json,2024-06-02 17:50:15.530,2024-06-02 17:50:15.530,com.sec.android.app.shealth,0,9323,1.4219604,6867.9697,292.38,XLy3VBYEN4,com.sec.android.app.shealth,11dc8226-9592-49d8-a785-1affc5f7b24c,1699056000000,
30c6bfbe-97c7-45df-83c8-eb788440cd92.binning_data.json,2024-06-02 17:50:15.531,2024-06-02 17:50:15.531,com.sec.android.app.shealth,0,3615,1.553332,2771.5999,122.65999,XLy3VBYEN4,com.sec.android.app.shealth,30c6bfbe-97c7-45df-83c8-eb788440cd92,1699401600000,
