com.samsung.health.hrv,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62981551,2025-11-21 05:00:00.000,,295faff1-c3f4-4466-a5fd-dcc11c740349.binning_data.json,62981551,2025-11-21 06:15:00.867,2025-11-21 06:15:00.867,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 06:00:00.000,295faff1-c3f4-4466-a5fd-dcc11c740349,
62981551,2025-11-21 06:00:00.000,,3dcd78e8-d7e8-40f3-8213-39184c02e971.binning_data.json,62981551,2025-11-21 07:15:01.005,2025-11-21 07:15:01.005,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 07:00:00.000,3dcd78e8-d7e8-40f3-8213-39184c02e971,
62981551,2025-11-21 07:00:00.000,,edb9ce7d-8309-4010-98dc-ed01d6224c08.binning_data.json,62981551,2025-11-21 08:15:01.121,2025-11-21 08:15:01.121,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 08:00:00.000,edb9ce7d-8309-4010-98dc-ed01d6224c08,
62981551,2025-11-21 08:00:00.000,,0e401ffb-d660-434b-a51d-0e9654afab2b.binning_data.json,62981551,2025-11-21 09:15:00.299,2025-11-21 09:15:00.299,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 09:00:00.000,0e401ffb-d660-434b-a51d-0e9654afab2b,
62981551,2025-11-21 09:00:00.000,,07f463c4-3322-4e77-bcf5-973d13da0c99.binning_data.json,62981551,2025-11-21 10:15:00.774,2025-11-21 10:15:00.774,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 10:00:00.000,07f463c4-3322-4e77-bcf5-973d13da0c99,
62981551,2025-11-21 10:00:00.000,,eb2d3e99-a0ff-4966-962d-9db759fd95c2.binning_data.json,62981551,2025-11-21 10:52:42.788,2025-11-21 10:52:42.788,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-21 10:52:41.180,eb2d3e99-a0ff-4966-962d-9db759fd95c2,
62981551,2025-11-23 02:00:00.000,,b1effbc1-e309-439b-b86c-5d8eb6c8b912.binning_data.json,62981551,2025-11-23 03:15:00.955,2025-11-23 03:15:00.955,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 03:00:00.000,b1effbc1-e309-439b-b86c-5d8eb6c8b912,
62981551,2025-11-23 03:00:00.000,,e6dc58d0-0f45-493c-aaa7-d56092f8f6a8.binning_data.json,62981551,2025-11-23 04:15:00.971,2025-11-23 04:15:00.971,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 04:00:00.000,e6dc58d0-0f45-493c-aaa7-d56092f8f6a8,
62981551,2025-11-23 04:00:00.000,,e24027c3-0fcf-4290-9792-85a978489ece.binning_data.json,62981551,2025-11-23 05:15:00.230,2025-11-23 05:15:00.230,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 05:00:00.000,e24027c3-0fcf-4290-9792-85a978489ece,
62981551,2025-11-23 05:00:00.000,,f241864b-e995-4e89-8e6c-a662fb8adea4.binning_data.json,62981551,2025-11-23 06:15:00.164,2025-11-23 06:15:00.164,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 06:00:00.000,f241864b-e995-4e89-8e6c-a662fb8adea4,
62981551,2025-11-23 06:00:00.000,,cd8e6709-8ccf-4806-89a9-2780ae3a3c61.binning_data.json,62981551,2025-11-23 07:15:00.367,2025-11-23 07:15:00.367,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 07:00:00.000,cd8e6709-8ccf-4806-89a9-2780ae3a3c61,
62981551,2025-11-23 07:00:00.000,,73b1a559-9315-4dd0-8bdd-8b702f713efd.binning_data.json,62981551,2025-11-23 08:06:59.343,2025-11-23 08:06:59.343,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 08:00:00.000,73b1a559-9315-4dd0-8bdd-8b702f713efd,
62981551,2025-11-23 08:00:00.000,,bc0d70f8-f4e6-4344-ac6b-b4081f29b4ca.binning_data.json,62981551,2025-11-23 09:15:00.627,2025-11-23 09:15:00.627,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 09:00:00.000,bc0d70f8-f4e6-4344-ac6b-b4081f29b4ca,
62981551,2025-11-23 09:00:00.000,,c6c54d44-8962-449d-affb-a3a4c8899586.binning_data.json,62981551,2025-11-23 10:15:00.382,2025-11-23 10:15:00.382,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 10:00:00.000,c6c54d44-8962-449d-affb-a3a4c8899586,
62981551,2025-11-23 10:00:00.000,,3d247627-6861-41f8-a5bd-1cb1ec7249d1.binning_data.json,62981551,2025-11-23 11:13:03.868,2025-11-23 11:13:03.868,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 11:00:00.000,3d247627-6861-41f8-a5bd-1cb1ec7249d1,
62981551,2025-11-23 11:00:00.000,,23a0925a-7a18-4ee3-9d88-eacb759fa70f.binning_data.json,62981551,2025-11-23 12:15:13.670,2025-11-23 12:15:13.670,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 12:00:00.000,23a0925a-7a18-4ee3-9d88-eacb759fa70f,
62981551,2025-11-23 12:00:00.000,,68f39ecd-2628-4c99-977c-62ba20db1cfe.binning_data.json,62981551,2025-11-23 12:55:06.806,2025-11-23 12:55:06.806,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-23 12:55:06.570,68f39ecd-2628-4c99-977c-62ba20db1cfe,
62981551,2025-11-24 04:00:00.000,,3dab2c42-3720-4334-a4ce-d6881dcc453d.binning_data.json,62981551,2025-11-24 05:05:40.799,2025-11-24 05:05:40.799,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 05:00:00.000,3dab2c42-3720-4334-a4ce-d6881dcc453d,
62981551,2025-11-24 05:00:00.000,,d7cc510b-439d-443b-91f2-03cc34876283.binning_data.json,62981551,2025-11-24 06:08:11.525,2025-11-24 06:08:11.525,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 06:00:00.000,d7cc510b-439d-443b-91f2-03cc34876283,
62981551,2025-11-24 06:00:00.000,,f4ffe668-a611-49c7-a55c-af1117e1f74e.binning_data.json,62981551,2025-11-24 07:15:00.735,2025-11-24 07:15:00.735,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 07:00:00.000,f4ffe668-a611-49c7-a55c-af1117e1f74e,
62981551,2025-11-24 07:00:00.000,,f12d9b23-b0e5-40e2-9b62-a2a2bb5235bd.binning_data.json,62981551,2025-11-24 08:11:32.412,2025-11-24 08:11:32.412,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 08:00:00.000,f12d9b23-b0e5-40e2-9b62-a2a2bb5235bd,
62981551,2025-11-24 08:00:00.000,,25230646-ef98-4329-b860-37b76421bc41.binning_data.json,62981551,2025-11-24 09:15:01.451,2025-11-24 09:15:01.451,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 09:00:00.000,25230646-ef98-4329-b860-37b76421bc41,
62981551,2025-11-24 09:00:00.000,,0e1af969-d6c3-484e-93ce-e4594dc9f123.binning_data.json,62981551,2025-11-24 10:09:14.810,2025-11-24 10:09:14.810,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 10:00:00.000,0e1af969-d6c3-484e-93ce-e4594dc9f123,
62981551,2025-11-24 10:00:00.000,,dbd45906-09a3-4c1b-b3c6-dcb062c01418.binning_data.json,62981551,2025-11-24 11:00:01.167,2025-11-24 11:00:01.167,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-11-24 10:59:59.574,dbd45906-09a3-4c1b-b3c6-dcb062c01418,
