com.samsung.shealth.tracker.pedometer_step_count,6307003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
9535,4,0,18,2025-12-04 22:04:00.000,,,2025-12-04 22:14:59.251,2025-12-04 22:04:05.023,18,1.4829483,14.139999,0.54,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 22:05:00.000,099b72ab-b323-4382-accc-e35c3433e525,
7513,4,0,12,2025-12-04 22:19:00.000,,,2025-12-04 22:34:59.269,2025-12-04 22:34:59.269,12,1.0833334,8.14,0.33,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 22:20:00.000,38e5a69c-ef6f-49e6-b134-90c365ed55a5,
15992,4,0,22,2025-12-04 22:31:00.000,,,2025-12-04 22:34:59.340,2025-12-04 22:34:59.340,22,0.9166667,14.66,0.86,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 22:32:00.000,bd340750-556e-46e7-ad6c-cade3602e73a,
13485,4,0,30,2025-12-04 22:56:00.000,,,2025-12-04 22:57:24.732,2025-12-04 22:57:24.732,30,1.75,23.6,0.87,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 22:57:00.000,57f23d01-1bcd-44c2-b382-53fab63831db,
5169,4,0,12,2025-12-04 23:08:00.000,,,2025-12-04 23:09:28.091,2025-12-04 23:09:28.091,12,1.7777778,9.19,0.38,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:09:00.000,0cb774d9-3b82-48bb-a76e-3f60157dd566,
43126,4,0,80,2025-12-04 23:10:00.000,,,2025-12-04 23:15:00.263,2025-12-04 23:10:45.171,80,1.433913,61.84001,2.3899996,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:11:00.000,2d0a2a09-0c14-4c60-bdf5-618cc2c795e0,
60000,4,20,97,2025-12-04 23:11:00.000,,,2025-12-04 23:15:00.319,2025-12-04 23:15:00.319,117,1.5323335,91.94,3.91,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:12:00.000,6a90da78-175e-48ba-9ac8-7fd3ccb50767,
60000,4,27,90,2025-12-04 23:12:00.000,,,2025-12-04 23:15:00.404,2025-12-04 23:15:00.404,117,1.5283333,91.7,4.07,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:13:00.000,84dc65cf-6ed5-42f9-93e8-6465a720629e,
54916,4,40,67,2025-12-04 23:13:00.000,,,2025-12-04 23:15:00.469,2025-12-04 23:15:00.469,107,1.5277778,83.9,3.99,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:14:00.000,1b334e5c-5f40-4277-b082-b2c73993d3ba,
6812,4,0,11,2025-12-04 23:14:00.000,,,2025-12-04 23:15:00.515,2025-12-04 23:15:00.515,11,1.0833334,7.38,0.37,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:15:00.000,57d0379e-2961-4d01-ad6c-1b55000f6d23,
13891,4,0,28,2025-12-04 23:16:00.000,,,2025-12-04 23:19:07.571,2025-12-04 23:19:07.571,28,1.6111112,22.38,0.82,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:17:00.000,2d695ac0-a8c8-4175-b620-07357f177385,
60000,4,19,98,2025-12-04 23:17:00.000,,,2025-12-04 23:19:08.082,2025-12-04 23:19:08.082,117,1.54,92.4,3.89,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:18:00.000,c958f2b0-68df-4ebb-9694-30b3ae8d13d0,
60000,4,8,109,2025-12-04 23:18:00.000,,,2025-12-04 23:19:08.276,2025-12-04 23:19:08.276,117,1.5409999,92.46,3.67,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:19:00.000,998c396c-0656-495f-b802-11fdcda2f2a5,
49703,4,0,95,2025-12-04 23:19:00.000,,,2025-12-04 23:20:00.968,2025-12-04 23:19:08.410,95,1.5055168,74.83001,3.0899975,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:20:00.000,4fb68857-62f5-4c14-a2da-0d5fa7b59f58,
11449,4,0,20,2025-12-04 23:20:00.000,,,2025-12-04 23:21:06.634,2025-12-04 23:21:06.634,20,1.2777778,14.63,0.62,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:21:00.000,38da7701-b2ea-4959-ad57-ddbe810de72c,
4640,4,0,7,2025-12-04 23:21:00.000,,,2025-12-04 23:21:06.707,2025-12-04 23:21:06.707,7,1.0,4.64,0.24,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:22:00.000,c2dcaa8c-841e-47be-b781-1671f2ab5795,
15417,4,0,29,2025-12-04 23:26:00.000,,,2025-12-04 23:26:31.260,2025-12-04 23:26:22.897,29,1.4184895,21.869999,0.96,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:27:00.000,184d1c02-3525-4fe5-8623-e8ff9ead4dda,
8233,4,0,11,2025-12-04 23:36:00.000,,,2025-12-04 23:39:37.117,2025-12-04 23:39:37.117,11,0.8611111,7.09,0.41,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:37:00.000,6f2c6dd0-8f2f-4f35-ae11-8ab612a6856d,
18634,4,0,31,2025-12-04 23:37:00.000,,,2025-12-04 23:39:37.272,2025-12-04 23:39:37.272,31,1.1666666,21.74,0.95,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:38:00.000,bad3f648-d949-473e-b33f-9b3d524df71c,
4770,4,0,10,2025-12-04 23:39:00.000,,,2025-12-04 23:39:37.831,2025-12-04 23:39:37.831,10,1.6666666,7.95,0.3,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:40:00.000,fced38af-7446-421d-8e32-89c5ebd813e5,
17415,4,0,32,2025-12-04 23:40:00.000,,,2025-12-04 23:40:59.584,2025-12-04 23:40:14.150,32,1.3373318,23.29,0.98999995,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:41:00.000,c6f243b1-fa45-43d2-bf9e-4884e7308752,
11313,4,0,23,2025-12-04 23:41:00.000,,,2025-12-04 23:43:17.922,2025-12-04 23:43:17.922,23,1.5,16.97,0.63,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-04 23:42:00.000,31ccd63b-ae2a-44db-a8af-524ac8361f0b,
