com.samsung.shealth.sleep_snoring,6307003,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
0,,2023-12-02 07:21:33.777,,,2023-12-02 08:44:58.770,2023-12-02 08:44:58.770,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-12-02 08:44:58.672,70dcd116-6aec-4f5c-a2d1-7286df546b97,
0,,2023-12-02 09:45:18.231,,,2023-12-02 10:34:33.874,2023-12-02 10:34:33.874,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-12-02 10:34:33.836,ae1df329-3e18-4e75-ae4f-f5af8c032e48,
0,,2023-12-07 06:18:03.687,,,2023-12-07 11:44:07.517,2023-12-07 11:44:07.517,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-12-07 11:44:07.413,3a40b910-5d30-4e83-ab5e-1995bc38a094,
0,,2023-12-18 06:51:23.171,,,2023-12-18 09:39:15.384,2023-12-18 09:39:15.384,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-12-18 09:39:15.232,7259a8a7-fe2c-4d70-8567-8d73eaefbf0f,
146117,62600630,2024-01-03 05:44:20.357,,62600630,2024-01-03 15:10:02.281,2024-01-03 15:10:02.281,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-03 05:46:46.474,2bf21826-f90c-4347-8c22-0ace4a21cde2,
269363,62600630,2024-01-03 06:10:46.648,,62600630,2024-01-03 15:10:02.282,2024-01-03 15:10:02.282,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-03 06:15:16.011,588204de-df82-4961-9a3e-0ff5e27f0620,
112317,62600630,2024-01-03 06:16:50.171,,62600630,2024-01-03 15:10:02.282,2024-01-03 15:10:02.282,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-03 06:18:42.488,405383e6-0459-4ee3-bb28-06724103e900,
73796,62600630,2024-01-03 06:19:23.878,,62600630,2024-01-03 15:10:02.283,2024-01-03 15:10:02.283,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-03 06:20:37.674,7bb05ef8-9508-45b2-b347-a9dec42dae76,
258053,62600630,2024-01-03 06:23:49.244,,62600630,2024-01-03 15:10:02.283,2024-01-03 15:10:02.283,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-03 06:28:07.297,995f165a-7d01-48eb-87aa-a1ccf60d14c4,
0,62600630,2024-01-05 03:06:24.949,,62600630,2024-01-05 09:00:12.339,2024-01-05 09:00:12.339,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-05 09:00:12.063,c9c23128-a620-4a96-b870-401018c7a46c,
0,62600630,2024-01-06 05:27:22.998,,62600630,2024-01-06 08:36:20.310,2024-01-06 08:36:20.310,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-06 08:36:20.257,dd48f935-5012-4bf1-a64f-567873b5291a,
0,62600630,2024-01-06 09:36:40.015,,62600630,2024-01-06 12:22:07.230,2024-01-06 12:22:07.230,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-06 12:22:06.978,c8bfa38b-a3d6-4d3a-b4f5-b4a844f95300,
0,62610110,2024-01-27 05:25:22.571,,62610110,2024-01-27 11:36:15.840,2024-01-27 11:36:15.840,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-27 11:36:15.588,cffb3b67-3ad0-433a-a349-3230580e1bbc,
0,62610110,2024-01-29 05:22:02.586,,62610110,2024-01-29 11:37:59.423,2024-01-29 11:37:59.423,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-01-29 11:37:59.213,7b2d85b9-b52a-4548-a040-88227b656a82,
0,62610110,2024-02-03 10:00:50.293,,62610110,2024-02-03 12:45:03.238,2024-02-03 12:45:03.238,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-02-03 12:45:02.858,358a0896-1ad2-40fa-a165-a551fb45443f,
79727,62660010,2024-05-08 04:29:32.099,,62660010,2024-05-08 14:02:30.772,2024-05-08 14:02:30.772,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-05-08 04:30:51.826,6f5b9f15-a982-4943-ae2c-9e1e68a6ab5b,
0,62660010,2024-05-09 05:20:15.335,,62660010,2024-05-09 10:25:47.836,2024-05-09 10:25:47.836,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-05-09 10:25:47.599,c78c3c48-b169-4b09-a832-76da357d5e12,
0,62660010,2024-05-13 05:41:03.733,,62660010,2024-05-13 10:50:37.457,2024-05-13 10:50:37.457,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-05-13 10:50:37.214,d94f04ba-23a3-4658-be21-35142ce5009b,
0,62660010,2024-05-14 04:21:10.712,,62660010,2024-05-14 07:05:01.921,2024-05-14 07:05:01.921,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-05-14 07:05:01.613,15b72391-f585-46b3-9a19-cb200d36aeca,
0,62660010,2024-05-18 05:52:07.152,,62660010,2024-05-18 10:13:26.770,2024-05-18 10:13:26.770,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2024-05-18 10:13:26.501,7633970e-7878-4695-bdec-ca0676867687,
0,62670070,2024-06-12 04:22:31.040,,62670070,2024-06-12 09:00:31.129,2024-06-12 09:00:31.129,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-12 09:00:30.930,eb8666c9-c67f-47fe-87ce-697bab4cf6be,
0,62670070,2024-06-20 05:47:05.657,,62670070,2024-06-20 09:33:13.273,2024-06-20 09:33:13.273,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-20 09:33:13.082,7b168cbd-a9eb-41a3-968b-1ef03f01dd82,
0,62670070,2024-06-20 10:09:24.864,,62670070,2024-06-20 12:02:59.274,2024-06-20 12:02:59.274,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-20 12:02:59.148,5bffc986-aa88-4caa-80ec-ba705eadf016,
0,62670070,2024-06-08 05:52:25.510,,62670070,2024-06-08 09:21:27.977,2024-06-08 09:21:27.977,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-08 09:21:27.816,78027ba3-bb84-484d-acee-d5c8cbb290ce,
0,62670070,2024-06-08 09:44:35.927,,62670070,2024-06-08 11:47:34.819,2024-06-08 11:47:34.819,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-08 11:47:34.676,8425ead2-d246-431f-bee2-a87e2912d290,
0,62670070,2024-06-10 04:36:31.465,,62670070,2024-06-10 09:16:56.374,2024-06-10 09:16:56.374,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-10 09:16:56.231,52366def-badb-4bd0-8baa-863db2c21a2e,
0,62670070,2024-06-25 04:28:11.411,,62670070,2024-06-25 12:27:34.914,2024-06-25 12:27:34.914,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-25 12:27:34.746,ce3682ba-7910-4a79-b25a-fadc5c72f6b2,
0,62670070,2024-06-29 06:05:34.615,,62670070,2024-06-29 12:44:36.004,2024-06-29 12:44:36.004,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-06-29 12:44:35.804,5df0ddaf-98c9-4ee3-af45-c1d9d7ea46c3,
112039,62670070,2024-07-01 05:56:22.007,,62670070,2024-07-01 11:42:00.118,2024-07-01 11:42:00.118,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-01 05:58:14.046,4c711103-0340-49e8-8a04-ab68a9e0fb45,
264821,62670070,2024-07-01 05:58:52.933,,62670070,2024-07-01 11:42:00.118,2024-07-01 11:42:00.118,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-01 06:03:17.754,b9014ee2-2a66-4396-b8f2-fbac1c77ffa3,
507137,62670070,2024-07-01 06:06:21.173,,62670070,2024-07-01 11:42:00.118,2024-07-01 11:42:00.118,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-01 06:14:48.310,b03c4c48-d048-4e0d-9819-e59f51ebbf38,
494438,62670070,2024-07-01 06:18:55.066,,62670070,2024-07-01 11:42:00.119,2024-07-01 11:42:00.119,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-01 06:27:09.504,a7d57f2a-8fda-43d2-9aad-603045cc0990,
80098,62670070,2024-07-01 06:27:57.940,,62670070,2024-07-01 11:42:00.119,2024-07-01 11:42:00.119,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-01 06:29:18.038,bffeac1c-cb6c-4791-9173-3fbae874cc14,
0,62701610,2024-08-03 06:35:13.017,,62701610,2024-08-03 12:41:01.167,2024-08-03 12:41:01.167,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-08-03 12:41:01.074,2386d55d-9724-4bfa-92e3-42871d2017dc,
0,62701610,2024-08-04 08:14:09.530,,62701610,2024-08-04 12:06:20.367,2024-08-04 12:06:20.367,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-08-04 12:06:20.269,8595ea59-8321-448b-b7e4-2ff58710b759,
0,62701610,2024-08-05 06:51:15.831,,62701610,2024-08-05 11:40:42.355,2024-08-05 11:40:42.355,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-08-05 11:40:42.243,364e1b98-0c29-4661-83d3-f57ea6b23779,
0,62701610,2024-07-24 09:07:23.728,,62701610,2024-07-24 12:35:25.803,2024-07-24 12:35:25.803,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-24 12:35:25.548,1300a76c-43c8-4eaa-b5f0-db277a825789,
0,62701610,2024-07-26 04:18:11.433,,62701610,2024-07-26 09:22:09.162,2024-07-26 09:22:09.162,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-26 09:22:08.967,c889e627-530e-4354-be38-07baf12f74f4,
0,62701610,2024-07-31 07:04:29.968,,62701610,2024-07-31 13:20:26.581,2024-07-31 13:20:26.581,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-07-31 13:20:26.444,1f4bff6c-143c-4513-b356-fa6c8f93073d,
113787,62701610,2024-08-01 07:09:41.685,,62701610,2024-08-01 13:02:58.544,2024-08-01 13:02:58.544,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-08-01 07:11:35.472,22089a84-67b0-4a51-8bf0-1bdcde5ceed7,
0,62710150,2024-08-19 05:27:29.672,,62710150,2024-08-19 09:19:39.552,2024-08-19 09:19:39.552,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2024-08-19 09:19:39.451,9c4fe150-c8f2-4a66-a6b2-1a69bdb0259d,
