com.samsung.health.movement,6307003,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62981551,2025-12-04 19:40:00.000,,1c72d264-9d04-499a-ae66-b650c4543f8c.binning_data.json,62981551,2025-12-04 20:00:50.102,2025-12-04 20:00:50.102,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-04 19:59:59.999,1c72d264-9d04-499a-ae66-b650c4543f8c,
62981551,2025-12-04 20:00:00.000,,d091074f-fcd3-495f-82af-3fc19347ce6e.binning_data.json,62981551,2025-12-04 21:01:08.351,2025-12-04 20:20:55.797,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-04 20:59:59.999,d091074f-fcd3-495f-82af-3fc19347ce6e,
62981551,2025-12-04 21:00:00.000,,846467a2-7752-460f-967c-4a192924ec31.binning_data.json,62981551,2025-12-04 22:01:27.728,2025-12-04 21:01:08.423,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-04 21:59:59.999,846467a2-7752-460f-967c-4a192924ec31,
62981551,2025-12-04 22:00:00.000,,347086a8-7d09-4828-bf1d-3b756d28779c.binning_data.json,62981551,2025-12-04 23:01:47.767,2025-12-04 22:01:27.749,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-04 22:59:59.999,347086a8-7d09-4828-bf1d-3b756d28779c,
62981551,2025-12-04 23:00:00.000,,c8000668-06b4-46a9-b39e-8003e63d13e8.binning_data.json,62981551,2025-12-05 00:02:06.297,2025-12-04 23:01:47.777,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-04 23:59:59.999,c8000668-06b4-46a9-b39e-8003e63d13e8,
62981551,2025-12-05 00:00:00.000,,b7d1169d-1939-42e7-8d8d-f8b5f5670325.binning_data.json,62981551,2025-12-05 00:07:53.073,2025-12-05 00:02:06.309,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 00:21:59.999,b7d1169d-1939-42e7-8d8d-f8b5f5670325,
62981551,2025-12-05 01:27:00.000,,31d117bd-f4fa-4519-a2a5-727a3d09f14f.binning_data.json,62981551,2025-12-05 02:07:12.063,2025-12-05 01:47:05.667,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 01:59:59.999,31d117bd-f4fa-4519-a2a5-727a3d09f14f,
62981551,2025-12-05 02:00:00.000,,60ff7f6c-7b74-4aad-b27a-f433034ed9d4.binning_data.json,62981551,2025-12-05 03:07:32.175,2025-12-05 02:07:12.088,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 02:59:59.999,60ff7f6c-7b74-4aad-b27a-f433034ed9d4,
62981551,2025-12-05 03:00:00.000,,739a5c2c-05f2-426b-ab2f-41e436bc420b.binning_data.json,62981551,2025-12-05 04:07:51.763,2025-12-05 03:07:32.186,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 03:59:59.999,739a5c2c-05f2-426b-ab2f-41e436bc420b,
62981551,2025-12-05 04:00:00.000,,2185fe01-68f0-4121-b3e8-b14d2a672146.binning_data.json,62981551,2025-12-05 05:08:11.012,2025-12-05 04:07:51.773,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 04:59:59.999,2185fe01-68f0-4121-b3e8-b14d2a672146,
62981551,2025-12-05 05:00:00.000,,894821e1-6719-4048-8501-71ee80f0424d.binning_data.json,62981551,2025-12-05 06:08:30.245,2025-12-05 05:08:11.023,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 05:59:59.999,894821e1-6719-4048-8501-71ee80f0424d,
62981551,2025-12-05 06:00:00.000,,d8d0730e-2414-4349-8dbc-ffb9376acad7.binning_data.json,62981551,2025-12-05 07:08:49.376,2025-12-05 06:08:30.316,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 06:59:59.999,d8d0730e-2414-4349-8dbc-ffb9376acad7,
62981551,2025-12-05 07:00:00.000,,2d3896dd-839e-4b6c-813f-e9c626aeba0d.binning_data.json,62981551,2025-12-05 08:09:08.446,2025-12-05 07:08:49.386,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 07:59:59.999,2d3896dd-839e-4b6c-813f-e9c626aeba0d,
62981551,2025-12-05 08:00:00.000,,544b15b1-d3ff-401c-ab14-0a35f70b087f.binning_data.json,62981551,2025-12-05 09:09:27.670,2025-12-05 08:09:08.567,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 08:59:59.999,544b15b1-d3ff-401c-ab14-0a35f70b087f,
62981551,2025-12-05 09:00:00.000,,901d2e06-9c62-44af-bba5-e2b503205c9e.binning_data.json,62981551,2025-12-05 10:09:46.973,2025-12-05 09:09:27.740,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 09:59:59.999,901d2e06-9c62-44af-bba5-e2b503205c9e,
62981551,2025-12-05 10:00:00.000,,cc1e8a64-64c1-4b06-b5e0-f3f834a8c089.binning_data.json,62981551,2025-12-05 11:10:06.214,2025-12-05 10:09:47.071,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 10:59:59.999,cc1e8a64-64c1-4b06-b5e0-f3f834a8c089,
62981551,2025-12-05 11:00:00.000,,7a09482d-6d43-487e-a726-f711cf93bd81.binning_data.json,62981551,2025-12-05 12:10:25.413,2025-12-05 11:10:06.224,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 11:59:59.999,7a09482d-6d43-487e-a726-f711cf93bd81,
62981551,2025-12-05 12:00:00.000,,873296ed-81c7-4aab-a811-c25be5cfc5f3.binning_data.json,62981551,2025-12-05 13:10:44.476,2025-12-05 12:10:25.423,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 12:59:59.999,873296ed-81c7-4aab-a811-c25be5cfc5f3,
62981551,2025-12-05 13:00:00.000,,0dfd9a62-265f-45f9-9074-89fd79d0a00c.binning_data.json,62981551,2025-12-05 14:11:03.606,2025-12-05 13:10:44.487,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 13:59:59.999,0dfd9a62-265f-45f9-9074-89fd79d0a00c,
62981551,2025-12-05 14:00:00.000,,41833dc4-b71d-46c0-b583-71d16211b12e.binning_data.json,62981551,2025-12-05 15:11:23.431,2025-12-05 14:11:03.635,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 14:59:59.999,41833dc4-b71d-46c0-b583-71d16211b12e,
62981551,2025-12-05 15:00:00.000,,b58a02d5-4286-4498-af55-db5245347739.binning_data.json,62981551,2025-12-05 16:11:43.708,2025-12-05 15:11:23.505,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 15:59:59.999,b58a02d5-4286-4498-af55-db5245347739,
62981551,2025-12-05 16:00:00.000,,b944f62d-b775-4103-abb4-620e0ba95145.binning_data.json,62981551,2025-12-05 17:12:03.116,2025-12-05 16:11:43.718,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 16:59:59.999,b944f62d-b775-4103-abb4-620e0ba95145,
62981551,2025-12-05 17:00:00.000,,4440638f-ef0f-4589-af79-e58a7d8ba10a.binning_data.json,62981551,2025-12-05 18:12:23.419,2025-12-05 17:12:03.221,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 17:59:59.999,4440638f-ef0f-4589-af79-e58a7d8ba10a,
62981551,2025-12-05 18:00:00.000,,8e58fcef-594a-4a0b-ba5a-86505d4e4bdf.binning_data.json,62981551,2025-12-05 18:12:23.430,2025-12-05 18:12:23.430,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-05 18:11:59.999,8e58fcef-594a-4a0b-ba5a-86505d4e4bdf,
62981551,2025-12-06 00:44:00.000,,920a606b-64fc-4da8-9c91-ab376ae0f040.binning_data.json,62981551,2025-12-06 01:04:02.789,2025-12-06 01:04:02.789,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 00:59:59.999,920a606b-64fc-4da8-9c91-ab376ae0f040,
62981551,2025-12-06 01:00:00.000,,ee8c2339-4583-471a-8d47-df25ec99107e.binning_data.json,62981551,2025-12-06 02:04:22.474,2025-12-06 01:04:02.807,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 01:59:59.999,ee8c2339-4583-471a-8d47-df25ec99107e,
62981551,2025-12-06 02:00:00.000,,e0ddff65-6448-4e23-9b08-7583aafd18d6.binning_data.json,62981551,2025-12-06 03:04:40.698,2025-12-06 02:04:22.487,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 02:59:59.999,e0ddff65-6448-4e23-9b08-7583aafd18d6,
62981551,2025-12-06 03:00:00.000,,977e858b-882d-44bb-9659-d9087b3c1147.binning_data.json,62981551,2025-12-06 04:04:59.597,2025-12-06 03:04:40.709,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 03:59:59.999,977e858b-882d-44bb-9659-d9087b3c1147,
62981551,2025-12-06 04:00:00.000,,7152c7cd-02b1-4fe1-9212-0a3d33dd5f92.binning_data.json,62981551,2025-12-06 05:05:18.073,2025-12-06 04:04:59.608,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 04:59:59.999,7152c7cd-02b1-4fe1-9212-0a3d33dd5f92,
62981551,2025-12-06 05:00:00.000,,58aaf66a-ea5e-43a9-b24e-a71ac7b153f8.binning_data.json,62981551,2025-12-06 06:05:36.804,2025-12-06 05:05:18.083,UTC-0300,9cX1oNetDs,,com.sec.android.app.shealth,2025-12-06 05:59:59.999,58aaf66a-ea5e-43a9-b24e-a71ac7b153f8,
