com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
,null,6,,2023-10-21 16:36:40.821,2023-10-21 16:36:40.821,2,0,HB_06,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,059b0abc-009c-4499-b969-af7d76593448,0,
,null,11,,2023-10-21 16:36:40.849,2023-10-21 16:36:40.849,2,11,HB_11,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,facf05b4-cfe9-411f-ab94-084fc10cac62,0,
,null,5,,2023-10-21 16:36:40.864,2023-10-21 16:36:40.864,2,16,HB_05,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,8fe74723-3186-4f2d-b6e2-8c17a6377840,0,
,null,5,,2023-10-21 16:36:40.858,2023-10-21 16:36:40.858,2,14,HB_05,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,f12c368f-bed8-4c98-bccb-4e408be6419e,0,
,null,6,,2023-10-21 16:36:40.867,2023-10-21 16:36:40.867,2,17,HB_06,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,94045e83-e99e-41e4-8a12-c517d09dcef3,0,
,null,9,,2023-10-21 16:36:40.825,2023-10-21 16:36:40.825,2,2,HB_09,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,373b4e19-220f-4a37-8dbf-d2f82951571f,0,
,null,2,,2023-10-21 16:36:40.832,2023-10-21 16:36:40.832,2,6,HB_02,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,2a917650-a61c-4b48-bda9-e081c9387930,0,
,null,9,,2023-10-21 16:36:40.854,2023-10-21 16:36:40.854,2,12,HB_09,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,4630a2b2-a3b8-466f-9d27-d267e86f6887,0,
,null,5,,2023-10-21 16:36:40.870,2023-10-21 16:36:40.870,2,18,HB_05,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,56c823ef-327d-4446-aa27-a7fb6d36911e,0,
,null,5,,2023-10-21 16:36:40.833,2023-10-21 16:36:40.833,2,6,HB_05,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,fa9b05e9-65d1-487b-80ee-45ef0deb855d,0,
,null,11,,2023-10-21 16:36:40.863,2023-10-21 16:36:40.863,2,16,HB_11,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,64fc5148-fd67-4765-adf7-1af2ce5e2ae7,0,
,null,2,,2023-10-21 16:36:40.826,2023-10-21 16:36:40.826,2,3,HB_02,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,acbbab32-f145-41f1-934c-b995a0508f10,0,
,null,2,,2023-10-21 16:36:40.839,2023-10-21 16:36:40.839,2,9,HB_02,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,e5d5c63a-91bc-43d5-993a-e52232fa797b,0,
,null,9,,2023-10-21 16:36:40.871,2023-10-21 16:36:40.871,2,18,HB_09,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,a54bb1ed-c97e-4ceb-bb8b-e3bf5c42ff8d,0,
,null,11,,2023-10-21 16:36:40.824,2023-10-21 16:36:40.824,2,2,HB_11,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,cbc4ece2-184f-4889-91d4-c2aaf4de58aa,0,
,null,10,,2023-10-21 16:36:40.874,2023-10-21 16:36:40.874,2,20,HB_10,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,f0eec8cf-ae0d-4baf-9ce5-8f137a803901,0,
,null,6,,2023-10-21 16:36:40.850,2023-10-21 16:36:40.850,2,11,HB_06,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,ffec1b9a-ff5f-4717-8131-d0ecd1601a01,0,
,null,11,,2023-10-21 16:36:40.869,2023-10-21 16:36:40.869,2,18,HB_11,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,1d7ea9ec-1ac8-4008-af3f-05599fb4a3c8,0,
,null,3,,2023-10-21 16:36:40.858,2023-10-21 16:36:40.858,2,14,HB_03,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,f400a710-f690-4f4e-85ea-c1bce5d3a116,0,
,null,10,,2023-10-21 16:36:40.838,2023-10-21 16:36:40.838,2,8,HB_10,zygK3IiKBU,com.sec.android.app.shealth,1,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,5996a6bd-136d-4fe2-a2dd-efea76a83661,0,
,null,5,,2023-10-21 16:36:40.825,2023-10-21 16:36:40.825,2,2,HB_05,zygK3IiKBU,com.sec.android.app.shealth,0,f77a46a7-ad3c-4ef9-86ee-a4075fc44df7,7218d220-6b2f-41bc-9cb8-39bada9358b3,0,
