com.samsung.shealth.food_favorite,6307003,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2023-10-12 13:04:34.563,2023-10-12 13:04:34.563,b63b8c03-2b44-4fc0-8d85-6cef8c394b11,,b63b8c03-2b44-4fc0-8d85-6cef8c394b11,0.0,zygK3IiKBU,com.sec.android.app.shealth,7c8fb48e-9f94-4a6e-b1a4-666144e733cc,98b6dfd9-f451-4f7c-ab80-2720c13df21e,
75.0,1,2023-10-12 13:04:29.985,2023-10-12 13:04:29.985,Banana overnight oats,120002,2f6a8569-4d66-4c29-81e0-814a35ec906a,66.0,zygK3IiKBU,com.sec.android.app.shealth,e73537eb-6a44-429b-9363-8f83189c27fd,c76fd169-d868-4ea5-85f0-410bd86c927a,
0.0,2,2023-10-12 17:29:54.594,2023-10-12 17:29:54.594,3199c69f-60cb-4970-826b-c8c68de3ab70,,3199c69f-60cb-4970-826b-c8c68de3ab70,0.0,zygK3IiKBU,com.sec.android.app.shealth,9bd9a6be-f498-46e0-bb6e-4a41d500665f,c02bf58d-ee96-4464-aa4c-3b2aa6a0a9a3,
0.0,2,2023-10-12 16:54:51.304,2023-10-12 16:54:51.304,73e16682-810d-4c4c-98be-dbb519bc287e,,73e16682-810d-4c4c-98be-dbb519bc287e,0.0,zygK3IiKBU,com.sec.android.app.shealth,5c1b11a9-0a39-43a9-8599-465ecebe7d8d,a63e96de-6e90-4853-b133-dc69ad4beab5,
0.0,2,2023-10-12 16:54:51.305,2023-10-12 16:54:51.305,73e16682-810d-4c4c-98be-dbb519bc287e,,73e16682-810d-4c4c-98be-dbb519bc287e,0.0,zygK3IiKBU,com.sec.android.app.shealth,59f735fe-f6d5-4c43-ab3e-30ab9d95a5c1,0b9cd86c-ae6d-44e6-b21c-4ff43a7d08e6,
0.0,2,2023-10-12 16:54:51.304,2023-10-12 16:54:51.304,73e16682-810d-4c4c-98be-dbb519bc287e,,73e16682-810d-4c4c-98be-dbb519bc287e,0.0,zygK3IiKBU,com.sec.android.app.shealth,7e6cc68e-1b02-4c97-adb4-f3ba680005b9,895a573b-74da-493e-a80d-915a8c0cc9ef,
0.0,2,2023-10-13 14:36:17.979,2023-10-13 14:36:17.979,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,0.0,zygK3IiKBU,com.sec.android.app.shealth,d8d8166b-d20c-43c2-9797-899f83ea6e93,7738de43-db2b-44de-91b8-65a31dd3789c,
0.0,2,2023-10-13 14:36:17.978,2023-10-13 14:36:17.978,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,0.0,zygK3IiKBU,com.sec.android.app.shealth,884efe88-b8c1-42c3-a2a9-de5fea54ae55,6c77dea7-7164-41a1-ab8c-13eac1644e14,
0.0,2,2023-10-13 14:36:17.979,2023-10-13 14:36:17.979,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,0.0,zygK3IiKBU,com.sec.android.app.shealth,4f23374f-7c9f-4fa3-af60-4ee482d5ae7c,98b6dfd9-f451-4f7c-ab80-2720c13df21e,
0.0,2,2023-10-13 14:36:17.979,2023-10-13 14:36:17.979,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,,0ebfcb2e-f3f9-441a-9ffe-c207812bcf99,0.0,zygK3IiKBU,com.sec.android.app.shealth,b0b4db58-f99d-48c0-bb50-2f571533b454,e58405d7-eaaf-4158-a528-1fa65aac5af8,
0.0,2,2023-10-13 15:55:53.201,2023-10-13 15:55:53.201,cb908dce-e38d-4faa-a3fe-a30550f9c520,,cb908dce-e38d-4faa-a3fe-a30550f9c520,0.0,zygK3IiKBU,com.sec.android.app.shealth,f5aa0a2f-2a7e-4729-a703-42a797563c59,334acad6-ef08-4bce-abde-e22365f3e6ab,
0.0,2,2023-10-13 15:55:53.200,2023-10-13 15:55:53.200,cb908dce-e38d-4faa-a3fe-a30550f9c520,,cb908dce-e38d-4faa-a3fe-a30550f9c520,0.0,zygK3IiKBU,com.sec.android.app.shealth,a6ecd608-1a10-42ca-afc4-f954a5399c7b,895a573b-74da-493e-a80d-915a8c0cc9ef,
0.0,2,2023-10-13 15:55:53.201,2023-10-13 15:55:53.201,cb908dce-e38d-4faa-a3fe-a30550f9c520,,cb908dce-e38d-4faa-a3fe-a30550f9c520,0.0,zygK3IiKBU,com.sec.android.app.shealth,0c70cd4a-89d8-4039-8483-c33afb7a8cd7,a63e96de-6e90-4853-b133-dc69ad4beab5,
0.0,2,2023-10-13 21:52:50.948,2023-10-13 21:52:50.948,d68435bc-1efd-4f4d-9b6e-43853ff3d92b,,d68435bc-1efd-4f4d-9b6e-43853ff3d92b,0.0,zygK3IiKBU,com.sec.android.app.shealth,75c9aae7-b68a-4c26-a3a1-7ab28c159688,93ce3cda-7fbf-49c6-8eb8-e90ef182a378,
0.0,2,2023-10-13 21:52:50.948,2023-10-13 21:52:50.948,d68435bc-1efd-4f4d-9b6e-43853ff3d92b,,d68435bc-1efd-4f4d-9b6e-43853ff3d92b,0.0,zygK3IiKBU,com.sec.android.app.shealth,46963f6b-7209-4fd7-81f0-ef948dbd47d1,16151307-2ac0-4af4-8566-e3394cf2368e,
0.0,2,2023-10-14 02:16:38.323,2023-10-14 02:16:38.323,b6304db8-1e00-480c-a003-ce31f9990fce,,b6304db8-1e00-480c-a003-ce31f9990fce,0.0,zygK3IiKBU,com.sec.android.app.shealth,f74f3aff-90e0-4f4c-a5e7-5a0470ea5fd7,895a573b-74da-493e-a80d-915a8c0cc9ef,
0.0,2,2023-10-14 02:16:38.323,2023-10-14 02:16:38.323,b6304db8-1e00-480c-a003-ce31f9990fce,,b6304db8-1e00-480c-a003-ce31f9990fce,0.0,zygK3IiKBU,com.sec.android.app.shealth,c83aca64-902d-49d3-ae56-04525bb231ea,16151307-2ac0-4af4-8566-e3394cf2368e,
0.0,2,2023-10-14 02:16:38.322,2023-10-14 02:16:38.322,b6304db8-1e00-480c-a003-ce31f9990fce,,b6304db8-1e00-480c-a003-ce31f9990fce,0.0,zygK3IiKBU,com.sec.android.app.shealth,39b52b4e-5d8f-420f-8542-cf001f0fffa3,a63e96de-6e90-4853-b133-dc69ad4beab5,
0.0,2,2023-10-15 13:21:45.021,2023-10-15 13:21:45.021,b64d2eb5-1fed-4de5-9b32-fd070cba6140,,b64d2eb5-1fed-4de5-9b32-fd070cba6140,0.0,zygK3IiKBU,com.sec.android.app.shealth,7fa32674-396e-4ae5-b026-dfddc7d67176,c76fd169-d868-4ea5-85f0-410bd86c927a,
0.0,2,2023-10-15 13:21:45.022,2023-10-15 13:21:45.022,b64d2eb5-1fed-4de5-9b32-fd070cba6140,,b64d2eb5-1fed-4de5-9b32-fd070cba6140,0.0,zygK3IiKBU,com.sec.android.app.shealth,600952e1-a11b-4186-846d-5ef901993760,16151307-2ac0-4af4-8566-e3394cf2368e,
0.0,2,2023-10-17 12:37:18.355,2023-10-17 12:37:18.355,f458edce-7b5e-406f-83c0-d779903a1410,,f458edce-7b5e-406f-83c0-d779903a1410,0.0,zygK3IiKBU,com.sec.android.app.shealth,dd43c0df-be9f-4fbe-a09b-6e99ec004262,c76fd169-d868-4ea5-85f0-410bd86c927a,
0.0,2,2023-10-17 12:37:18.355,2023-10-17 12:37:18.355,f458edce-7b5e-406f-83c0-d779903a1410,,f458edce-7b5e-406f-83c0-d779903a1410,0.0,zygK3IiKBU,com.sec.android.app.shealth,e9f23567-7d61-4488-9677-cacbf31245f4,6c77dea7-7164-41a1-ab8c-13eac1644e14,
0.0,2,2023-10-18 02:59:50.701,2023-10-18 02:59:50.701,c91844cf-9db9-465b-93cf-a7b6ecc0e1f2,,c91844cf-9db9-465b-93cf-a7b6ecc0e1f2,0.0,zygK3IiKBU,com.sec.android.app.shealth,4650ec0d-5050-4756-aa7f-d2780eebc25f,b064ef29-7848-4cd0-96d4-2e4aefa93fa1,
0.0,2,2023-10-18 02:59:11.390,2023-10-18 02:59:11.390,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,0.0,zygK3IiKBU,com.sec.android.app.shealth,6e8e8b20-24cb-4e17-b4fc-381ee814e093,a63e96de-6e90-4853-b133-dc69ad4beab5,
0.0,2,2023-10-18 02:59:11.390,2023-10-18 02:59:11.390,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,0.0,zygK3IiKBU,com.sec.android.app.shealth,0af3d084-715b-4b74-8898-76454b6dc53e,16151307-2ac0-4af4-8566-e3394cf2368e,
0.0,2,2023-10-18 02:59:50.701,2023-10-18 02:59:50.701,c91844cf-9db9-465b-93cf-a7b6ecc0e1f2,,c91844cf-9db9-465b-93cf-a7b6ecc0e1f2,0.0,zygK3IiKBU,com.sec.android.app.shealth,06ef5529-bd15-4d3a-8b94-e88ad626952d,c76fd169-d868-4ea5-85f0-410bd86c927a,
0.0,2,2023-10-18 02:59:11.389,2023-10-18 02:59:11.389,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,,a2ec666d-de4d-4c39-91a1-3c8db5ff9ccd,0.0,zygK3IiKBU,com.sec.android.app.shealth,6605875a-b5fe-4503-b0c4-e252439482af,895a573b-74da-493e-a80d-915a8c0cc9ef,
0.0,2,2024-07-23 17:44:24.365,2024-07-23 17:44:24.365,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,0.0,XLy3VBYEN4,com.sec.android.app.shealth,bde4596d-70c0-43a4-812e-c3e7a169819b,211baa25-7297-4b4a-9d4b-8d783f5e34d5,
0.0,2,2024-07-23 17:43:15.673,2024-07-23 17:43:15.673,69756b00-57c5-4e76-a96f-002bacc19342,,69756b00-57c5-4e76-a96f-002bacc19342,0.0,XLy3VBYEN4,com.sec.android.app.shealth,9a08b6c4-4b28-40df-b167-4529d8d6c725,5ad8c0ec-eda1-4968-bf17-92b0a98d52d5,
0.0,2,2024-07-23 17:43:15.673,2024-07-23 17:43:15.673,69756b00-57c5-4e76-a96f-002bacc19342,,69756b00-57c5-4e76-a96f-002bacc19342,0.0,XLy3VBYEN4,com.sec.android.app.shealth,f58a7f56-b75e-4f32-9a5d-65cc5bd1111c,93ce3cda-7fbf-49c6-8eb8-e90ef182a378,
0.0,2,2024-07-23 17:43:15.674,2024-07-23 17:43:15.674,69756b00-57c5-4e76-a96f-002bacc19342,,69756b00-57c5-4e76-a96f-002bacc19342,0.0,XLy3VBYEN4,com.sec.android.app.shealth,c6e9d8e4-8d8e-49f3-b815-bf4477f98d55,e58405d7-eaaf-4158-a528-1fa65aac5af8,
0.0,2,2024-07-23 17:44:24.364,2024-07-23 17:44:24.364,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,0.0,XLy3VBYEN4,com.sec.android.app.shealth,e061978b-88d5-423c-962e-426f973e71b7,895a573b-74da-493e-a80d-915a8c0cc9ef,
0.0,2,2024-07-23 17:44:24.365,2024-07-23 17:44:24.365,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,,2b18a9e5-e577-4c44-b833-ef3a0ce34b94,0.0,XLy3VBYEN4,com.sec.android.app.shealth,fcef9ff8-2de1-42d0-9b79-9d8c63e44871,47b66d3d-ca0b-4ba2-b884-682737edffd7,
