com.samsung.shealth.calories_burned.details,6307003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
200,,7bd2f91d-7f80-49f4-bef6-abd5b0bc06a1.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:42.846,2025-12-10 14:24:01.022,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,7bd2f91d-7f80-49f4-bef6-abd5b0bc06a1,1764460800000,
200,,f6e4bb22-bf74-43d5-9f87-c882c7a71f81.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:42.863,2025-12-10 14:24:01.027,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,f6e4bb22-bf74-43d5-9f87-c882c7a71f81,1764547200000,
200,,83be3f8b-de48-453a-9925-a7c446ee80dc.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:42.880,2025-12-10 14:24:01.030,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,83be3f8b-de48-453a-9925-a7c446ee80dc,1764633600000,
200,,e9b25fc5-c6d4-47f6-956e-014599942403.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:42.898,2025-12-10 14:24:01.032,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,e9b25fc5-c6d4-47f6-956e-014599942403,1764720000000,
200,,f52209ca-3bc4-4d88-873a-6fe904ab803d.extra_data.json,,0.0,63060070,0.0,1197750,1362.1284,63070030,2025-12-16 01:01:42.950,2025-12-10 14:24:01.036,62.109997,bvFPH0+ZC9,com.sec.android.app.shealth,f52209ca-3bc4-4d88-873a-6fe904ab803d,1764806400000,
200,,b81acb71-d4b5-4307-932c-6897dede4dd1.extra_data.json,,0.0,63060070,0.0,1302250,1360.4579,63070030,2025-12-16 01:01:42.966,2025-12-10 14:24:01.050,60.690002,bvFPH0+ZC9,com.sec.android.app.shealth,b81acb71-d4b5-4307-932c-6897dede4dd1,1764892800000,
200,,99f54944-cee6-403c-a9cd-57eb1842ef4d.extra_data.json,,0.0,63060070,0.0,9780155,1224.9216,63070030,2025-12-16 01:01:42.981,2025-12-10 14:24:01.050,481.41992,bvFPH0+ZC9,com.sec.android.app.shealth,99f54944-cee6-403c-a9cd-57eb1842ef4d,1764979200000,
200,,2858b57a-cf14-48db-8773-02dfd92b76ca.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:43.003,2025-12-10 14:24:01.057,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,2858b57a-cf14-48db-8773-02dfd92b76ca,1765065600000,
200,,ed3e12f3-5e8f-4170-b0fd-9d2eb091e568.extra_data.json,,0.0,63060070,0.0,0,1381.277,63070030,2025-12-16 01:01:43.019,2025-12-10 14:24:01.060,0.0,bvFPH0+ZC9,com.sec.android.app.shealth,ed3e12f3-5e8f-4170-b0fd-9d2eb091e568,1765152000000,
200,,7135d0c2-81a5-475b-b12c-47e847e60c7c.extra_data.json,,0.0,63060070,0.0,3126380,1331.2954,63070030,2025-12-16 01:01:43.029,2025-12-10 14:24:01.061,171.39996,bvFPH0+ZC9,com.sec.android.app.shealth,7135d0c2-81a5-475b-b12c-47e847e60c7c,1765238400000,
