com.samsung.shealth.badge,6307003,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2024-10-30 03:00:00.000,,,1,,2024-11-03 19:05:17.877,2024-11-03 19:05:17.877,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2024-10-31 02:59:59.999,17a66d5e-ec7c-4148-b1b6-df80da85e116,
,2025-12-06 03:00:00.000,,100003,1,,2025-12-12 02:21:53.849,2023-10-14 22:47:37.130,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC-0300,7463.856216304558,bvFPH0+ZC9,com.sec.android.app.shealth,,tracker.pedometer,2025-12-07 02:59:59.999,6bea2328-1ada-4038-9f4c-69182852837f,
,2025-01-17 00:00:00.000,,,1,,2025-01-17 13:20:23.812,2025-01-17 13:20:23.812,,vitality_first_measure,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-01-17 00:00:00.000,0acdb5c2-d3a1-4d98-bf76-457d9e8dd80c,
,2025-01-30 00:00:00.000,,,1,,2025-01-30 12:27:40.174,2025-01-30 12:27:40.174,,vitality_good,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-01-30 00:00:00.000,de91325e-11d7-44f0-8115-89448551ff33,
7,2025-02-01 03:00:00.000,,,1,,2025-02-08 01:12:19.566,2025-01-27 20:00:48.272,,step_streak_1_week_streak,,,UTC-0300,,9cX1oNetDs,com.sec.android.app.shealth,,tracker.pedometer,2025-02-08 02:59:59.999,fea4fc8d-6e3b-441a-b6c0-ce848812568b,
14,2025-02-01 03:00:00.000,,,1,,2025-02-14 17:09:32.834,2025-02-08 03:00:00.942,,step_streak_2_week_streak,,,UTC-0300,,9cX1oNetDs,com.sec.android.app.shealth,,tracker.pedometer,2025-02-15 02:59:59.999,be3ebf52-ec7c-472e-8cc5-0abdf548c82e,
,2025-02-23 00:00:00.000,,,1,,2025-02-23 13:36:12.883,2025-02-23 13:36:12.883,,vitality_excellent,,,UTC+0000,,XLy3VBYEN4,com.sec.android.app.shealth,,tracker.vitality,2025-02-23 00:00:00.000,4681dae2-f2cf-4f30-bae5-c245d9caba28,
1,2025-03-18 03:00:00.000,,,1,,2025-03-18 12:08:57.262,2025-03-18 12:08:57.262,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-03-19 02:59:59.999,1939dfee-a1dd-40ad-b8cb-3e0234b49bf0,
1,2025-03-21 03:00:00.000,,,1,,2025-03-21 12:23:33.720,2025-03-21 12:23:33.720,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-03-22 02:59:59.999,fc88e2e1-bb0d-4454-a37e-870ca7aedbe0,
26,2025-02-01 00:00:00.000,,,1,,2025-04-01 02:59:25.942,2025-02-01 03:00:04.264,,daily_activity_month_streak_feb,,,UTC+0000,{"a":true},XLy3VBYEN4,com.sec.android.app.shealth,,tracker.daily_activity,2025-02-28 23:59:59.999,080aa87b-e629-46c3-a27e-beaa70c42f03,
1,2025-04-02 03:00:00.000,,,1,,2025-04-02 14:11:03.767,2025-04-02 14:11:03.767,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-04-03 02:59:59.999,2238616d-2735-4071-b392-97461b1c840e,
1,2025-05-02 03:00:00.000,,,1,,2025-05-02 15:00:04.196,2025-05-02 15:00:04.196,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-03 02:59:59.999,78a4fad1-069d-4397-960d-07bde3d3f6f4,
1,2025-05-19 03:00:00.000,,,1,,2025-05-19 14:15:38.890,2025-05-19 14:15:38.890,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-20 02:59:59.999,8bc4c3c4-9546-429b-b124-05fec3deb48b,
1,2025-05-20 03:00:00.000,,,1,,2025-05-20 12:41:40.515,2025-05-20 12:41:40.515,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-21 02:59:59.999,208dedfc-e9bc-48ce-a7bb-17e1099f1732,
1,2025-05-21 03:00:00.000,,,1,,2025-05-23 00:05:09.431,2025-05-23 00:05:09.431,,sleep_excellent_sleep,,,UTC-0300,,XLy3VBYEN4,com.sec.android.app.shealth,,Sleep.Goal,2025-05-22 02:59:59.999,b95d5853-ec73-4eeb-be30-58fa9e8e06eb,
