com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
63060070,5082,083f4ff1-a7e4-4467-b557-39099be27497.binning_data.json,2780093,7000,63060070,64,2025-12-13 10:49:15.781,com.sec.android.app.shealth,2025-12-12 03:16:25.706,083f4ff1-a7e4-4467-b557-39099be27497.source_info.json,1.3597243,3780.16,159.18,5018,VfS0qUERdZ,com.sec.android.app.shealth,0,083f4ff1-a7e4-4467-b557-39099be27497.achievement.json,083f4ff1-a7e4-4467-b557-39099be27497,1765497600000,
,3068,4e4438ec-bce0-4618-9b31-af8357be89d0.binning_data.json,1634890,6000,,23,2023-10-11 02:01:40.338,com.sec.android.app.shealth,2023-10-10 17:50:57.545,4e4438ec-bce0-4618-9b31-af8357be89d0.source_info.json,1.4202784,2322.0,99.229996,3045,VfS0qUERdZ,com.sec.android.app.shealth,0,4e4438ec-bce0-4618-9b31-af8357be89d0.achievement.json,4e4438ec-bce0-4618-9b31-af8357be89d0,1696896000000,
,2203,bb91897c-c22d-4eb7-a600-c08546c1648d.binning_data.json,1193087,6000,,5,2023-10-11 03:00:08.581,com.sec.android.app.shealth,2023-10-11 03:00:08.581,,1.3202808,1575.21,71.41,2198,60rRju/E5J,com.sec.android.app.shealth,0,bb91897c-c22d-4eb7-a600-c08546c1648d.achievement.json,bb91897c-c22d-4eb7-a600-c08546c1648d,1696896000000,
,2360,9cc7000b-2d18-4fb1-9b59-b078aa305850.binning_data.json,1244941,6000,,18,2023-10-11 03:00:06.459,com.sec.android.app.shealth,2023-10-11 03:00:06.459,,1.4755954,1837.03,73.38,2342,zygK3IiKBU,com.sec.android.app.shealth,0,9cc7000b-2d18-4fb1-9b59-b078aa305850.achievement.json,9cc7000b-2d18-4fb1-9b59-b078aa305850,1696896000000,
,5736,8d03170a-8b8e-4d6f-a4ab-a4cf28d95593.binning_data.json,2946518,6000,,206,2023-10-12 01:10:17.661,com.sec.android.app.shealth,2023-10-11 10:59:44.911,8d03170a-8b8e-4d6f-a4ab-a4cf28d95593.source_info.json,1.4954023,4406.23,188.84,5530,VfS0qUERdZ,com.sec.android.app.shealth,0,8d03170a-8b8e-4d6f-a4ab-a4cf28d95593.achievement.json,8d03170a-8b8e-4d6f-a4ab-a4cf28d95593,1696982400000,
,4892,da87b4eb-0ae9-4e77-aec1-552159a0c288.binning_data.json,2601458,6000,,70,2023-10-12 03:02:26.425,com.sec.android.app.shealth,2023-10-12 03:02:26.425,,1.3529093,3519.5378,162.81992,4822,60rRju/E5J,com.sec.android.app.shealth,0,da87b4eb-0ae9-4e77-aec1-552159a0c288.achievement.json,da87b4eb-0ae9-4e77-aec1-552159a0c288,1696982400000,
,4223,e00be55a-4458-4be4-9f0e-5b32e336e7ac.binning_data.json,2108871,6000,,144,2023-10-12 03:02:25.209,com.sec.android.app.shealth,2023-10-12 03:02:25.209,,1.5914533,3356.1702,134.20999,4079,zygK3IiKBU,com.sec.android.app.shealth,0,e00be55a-4458-4be4-9f0e-5b32e336e7ac.achievement.json,e00be55a-4458-4be4-9f0e-5b32e336e7ac,1696982400000,
,5671,852b2b82-f3b0-40b7-bfcf-f27d47be746e.binning_data.json,3008339,6000,,61,2023-10-13 02:22:26.389,com.sec.android.app.shealth,2023-10-12 03:13:46.984,852b2b82-f3b0-40b7-bfcf-f27d47be746e.source_info.json,1.4143709,4254.9077,186.97992,5610,VfS0qUERdZ,com.sec.android.app.shealth,0,852b2b82-f3b0-40b7-bfcf-f27d47be746e.achievement.json,852b2b82-f3b0-40b7-bfcf-f27d47be746e,1697068800000,
,3862,2ab7d7bf-d1d8-4bbf-b231-0ac1ee9d3ec2.binning_data.json,2020682,6000,,1,2023-10-13 03:00:05.634,com.sec.android.app.shealth,2023-10-13 03:00:05.634,,1.4781739,2986.92,117.81999,3861,zygK3IiKBU,com.sec.android.app.shealth,0,2ab7d7bf-d1d8-4bbf-b231-0ac1ee9d3ec2.achievement.json,2ab7d7bf-d1d8-4bbf-b231-0ac1ee9d3ec2,1697068800000,
,4909,a8733cb0-6782-43a9-b6c0-fe688f2c940a.binning_data.json,2639431,6000,,74,2023-10-13 03:00:07.059,com.sec.android.app.shealth,2023-10-13 03:00:07.059,,1.3737833,3626.0076,168.18988,4835,60rRju/E5J,com.sec.android.app.shealth,0,a8733cb0-6782-43a9-b6c0-fe688f2c940a.achievement.json,a8733cb0-6782-43a9-b6c0-fe688f2c940a,1697068800000,
,2198,bc7fe31d-3fd1-4f95-8c40-8a68017f52f0.binning_data.json,1128069,6000,,6,2023-10-14 03:32:56.418,com.sec.android.app.shealth,2023-10-14 03:32:56.418,,1.4516565,1637.5702,75.630005,2192,60rRju/E5J,com.sec.android.app.shealth,0,bc7fe31d-3fd1-4f95-8c40-8a68017f52f0.achievement.json,bc7fe31d-3fd1-4f95-8c40-8a68017f52f0,1697155200000,
,2689,26093e34-b963-4be4-ab03-c4f02951e88b.binning_data.json,1362261,6000,,6,2023-10-14 02:55:00.979,com.sec.android.app.shealth,2023-10-13 03:26:18.761,26093e34-b963-4be4-ab03-c4f02951e88b.source_info.json,1.496849,2039.1002,89.51,2683,VfS0qUERdZ,com.sec.android.app.shealth,0,26093e34-b963-4be4-ab03-c4f02951e88b.achievement.json,26093e34-b963-4be4-ab03-c4f02951e88b,1697155200000,
,854,7c89f454-641d-481b-819a-ec4ae2674821.binning_data.json,437504,6000,,0,2023-10-14 03:32:54.171,com.sec.android.app.shealth,2023-10-14 03:32:54.171,,1.5274585,668.27,25.639996,854,zygK3IiKBU,com.sec.android.app.shealth,0,7c89f454-641d-481b-819a-ec4ae2674821.achievement.json,7c89f454-641d-481b-819a-ec4ae2674821,1697155200000,
,10257,4b016de0-b38f-4d3f-b1a6-777a1cc449a3.binning_data.json,5267609,6000,,103,2023-10-15 03:00:02.835,com.sec.android.app.shealth,2023-10-15 03:00:02.835,,1.5315106,8067.4,322.09998,10154,zygK3IiKBU,com.sec.android.app.shealth,0,4b016de0-b38f-4d3f-b1a6-777a1cc449a3.achievement.json,4b016de0-b38f-4d3f-b1a6-777a1cc449a3,1697241600000,
,14137,05ddef2f-581c-448f-a2d1-3167ae70265b.binning_data.json,7484725,6000,,128,2023-10-16 03:10:54.008,com.sec.android.app.shealth,2023-10-15 07:17:22.778,05ddef2f-581c-448f-a2d1-3167ae70265b.source_info.json,1.4550219,10890.439,460.4299,14009,VfS0qUERdZ,com.sec.android.app.shealth,0,05ddef2f-581c-448f-a2d1-3167ae70265b.achievement.json,05ddef2f-581c-448f-a2d1-3167ae70265b,1697328000000,
,10312,7d8f3a67-8856-4a24-8f21-1a6c94c6d108.binning_data.json,5674531,6000,,154,2023-10-16 03:00:08.171,com.sec.android.app.shealth,2023-10-15 03:00:04.383,,1.3566322,7698.2524,367.09015,10158,60rRju/E5J,com.sec.android.app.shealth,0,7d8f3a67-8856-4a24-8f21-1a6c94c6d108.achievement.json,7d8f3a67-8856-4a24-8f21-1a6c94c6d108,1697241600000,
,12293,1e7017d7-967a-4f78-9c60-0e9f5f7e81a9.binning_data.json,6453211,6000,,101,2023-10-16 03:00:05.117,com.sec.android.app.shealth,2023-10-16 03:00:05.117,,1.4834428,9572.97,381.21997,12192,zygK3IiKBU,com.sec.android.app.shealth,0,1e7017d7-967a-4f78-9c60-0e9f5f7e81a9.achievement.json,1e7017d7-967a-4f78-9c60-0e9f5f7e81a9,1697328000000,
,12798,18e08574-5980-406b-bd39-7ce934852094.binning_data.json,6711083,6000,,188,2023-10-16 03:00:07.642,com.sec.android.app.shealth,2023-10-14 03:55:56.130,18e08574-5980-406b-bd39-7ce934852094.source_info.json,1.4730617,9885.841,423.08002,12610,VfS0qUERdZ,com.sec.android.app.shealth,0,18e08574-5980-406b-bd39-7ce934852094.achievement.json,18e08574-5980-406b-bd39-7ce934852094,1697241600000,
,6774,a241c7af-5179-4b72-86f8-e69109a4fba8.binning_data.json,3561457,6000,,15,2023-10-17 03:00:06.811,com.sec.android.app.shealth,2023-10-17 03:00:06.811,,1.4746826,5252.02,206.32996,6759,zygK3IiKBU,com.sec.android.app.shealth,0,a241c7af-5179-4b72-86f8-e69109a4fba8.achievement.json,a241c7af-5179-4b72-86f8-e69109a4fba8,1697414400000,
