com.samsung.shealth.report,6307003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1709434800000,2024-03-10 16:47:27.262,2024-03-10 16:47:27.262,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,8cdf5dcf-2a25-4742-b553-fd99f679d620,8cdf5dcf-2a25-4742-b553-fd99f679d620.compressed_content.json,
America/Sao_Paulo,1710039600000,2024-03-17 16:28:22.816,2024-03-17 16:28:22.816,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,4b53d764-6014-4a83-b62e-66dd3dbedeab,4b53d764-6014-4a83-b62e-66dd3dbedeab.compressed_content.json,
America/Sao_Paulo,1710644400000,2024-03-24 16:40:15.351,2024-03-24 16:40:15.351,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,12e5bcee-ef4a-4dd5-a609-0c621a8a39e9,12e5bcee-ef4a-4dd5-a609-0c621a8a39e9.compressed_content.json,
America/Sao_Paulo,1711249200000,2024-03-31 16:27:52.817,2024-03-31 16:27:52.817,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,8cede9b0-6e2b-47bf-8606-43cfe6f25bb5,8cede9b0-6e2b-47bf-8606-43cfe6f25bb5.compressed_content.json,
America/Sao_Paulo,1711854000000,2024-04-07 16:29:28.334,2024-04-07 16:29:28.334,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,f62ffb88-981f-4836-9d23-d0ef6cb50b86,f62ffb88-981f-4836-9d23-d0ef6cb50b86.compressed_content.json,
America/Sao_Paulo,1712458800000,2024-04-14 16:30:01.907,2024-04-14 16:30:01.907,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,576c757a-a64a-4857-98d2-f1df9a83988a,576c757a-a64a-4857-98d2-f1df9a83988a.compressed_content.json,
America/Sao_Paulo,1713063600000,2024-04-21 16:28:06.457,2024-04-21 16:28:06.457,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,f0634af2-b457-4d4c-833d-b664589dfdbd,f0634af2-b457-4d4c-833d-b664589dfdbd.compressed_content.json,
America/Sao_Paulo,1713668400000,2024-04-28 16:28:58.796,2024-04-28 16:28:58.796,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,fc05f461-3a2a-4fc3-a694-f8ff76e666c7,fc05f461-3a2a-4fc3-a694-f8ff76e666c7.compressed_content.json,
America/Sao_Paulo,1714273200000,2024-05-05 16:28:04.676,2024-05-05 16:28:04.676,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,2e6f37c1-8dd9-433a-bf9b-0dd2fc7a6f45,2e6f37c1-8dd9-433a-bf9b-0dd2fc7a6f45.compressed_content.json,
America/Sao_Paulo,1714878000000,2024-05-12 16:28:09.055,2024-05-12 16:28:09.055,0,0,3,zygK3IiKBU,X,com.sec.android.app.shealth,691519b1-0380-452d-bc10-348786807169,691519b1-0380-452d-bc10-348786807169.compressed_content.json,
