com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-12-10 14:34:15.000,,2025-12-10 15:04:18.625,2025-12-10 15:04:18.625,,,1.0,8bd3b64d-ab76-425a-b3c3-5e34fccb96a9.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 15:03:40.001,8bd3b64d-ab76-425a-b3c3-5e34fccb96a9,
2025-12-10 15:03:40.000,,2025-12-10 18:06:26.183,2025-12-10 18:06:26.183,,,1.0,25f19fd9-5815-4b7b-a772-1d3aa13f2f69.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 18:06:15.000,25f19fd9-5815-4b7b-a772-1d3aa13f2f69,
2025-12-10 18:06:15.001,,2025-12-10 18:57:32.895,2025-12-10 18:57:32.895,,,1.0,4a371a98-0c46-4dbe-bcb5-1ae81e11a2e4.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 18:54:30.000,4a371a98-0c46-4dbe-bcb5-1ae81e11a2e4,
2025-12-10 18:54:30.000,,2025-12-10 19:04:26.691,2025-12-10 19:04:26.691,,,1.0,46112563-3a1e-4107-869e-4514fd6a9263.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 19:04:06.000,46112563-3a1e-4107-869e-4514fd6a9263,
2025-12-10 19:04:05.999,,2025-12-10 19:30:31.339,2025-12-10 19:29:42.215,,,2.0,9c868b0a-de11-476b-b4a0-1aeb2431c377.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 19:30:16.999,9c868b0a-de11-476b-b4a0-1aeb2431c377,
2025-12-10 19:30:17.000,,2025-12-10 19:35:27.000,2025-12-10 19:35:26.851,,,2.0,97694668-c0bb-4f57-a81d-285aaae1261a.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 19:33:01.000,97694668-c0bb-4f57-a81d-285aaae1261a,
2025-12-10 19:33:01.000,,2025-12-10 19:35:46.647,2025-12-10 19:35:44.307,,,2.0,cea1a092-389e-4c78-8dea-dda17b249268.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-10 19:35:37.001,cea1a092-389e-4c78-8dea-dda17b249268,
2025-12-11 03:00:00.228,,2025-12-11 12:08:39.735,2025-12-11 12:08:39.735,,,1.0,aad73602-b678-43a5-b1c8-755d0f06086d.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 12:06:20.999,aad73602-b678-43a5-b1c8-755d0f06086d,
2025-12-11 12:06:21.000,,2025-12-11 12:36:55.270,2025-12-11 12:36:55.270,,,1.0,2a4dfb23-4fac-4068-9ff4-b2feb9e10404.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 12:30:33.000,2a4dfb23-4fac-4068-9ff4-b2feb9e10404,
2025-12-11 12:30:32.999,,2025-12-11 13:17:28.284,2025-12-11 13:17:28.284,,,1.0,3f8c44da-9b77-4a82-845e-eb043669fd9f.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 13:14:15.000,3f8c44da-9b77-4a82-845e-eb043669fd9f,
2025-12-11 13:14:15.001,,2025-12-11 13:51:04.655,2025-12-11 13:51:04.655,,,1.0,5351cdb3-897d-451a-a7c1-95e1c5b9d9f9.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 13:48:27.000,5351cdb3-897d-451a-a7c1-95e1c5b9d9f9,
2025-12-11 13:48:26.999,,2025-12-11 16:42:23.324,2025-12-11 16:42:23.324,,,1.0,459d2575-5ed5-4db2-888a-76fbeefdaf29.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 16:41:38.999,459d2575-5ed5-4db2-888a-76fbeefdaf29,
2025-12-11 16:41:39.000,,2025-12-11 23:31:37.045,2025-12-11 23:31:37.045,,,1.0,322de700-c374-4fb7-8249-472527f3589e.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-11 23:31:21.000,322de700-c374-4fb7-8249-472527f3589e,
2025-12-11 23:31:21.000,,2025-12-12 00:18:09.732,2025-12-12 00:18:09.732,,,1.0,88cb87d3-7dba-4584-a21d-e5428edc298d.raw_data.json,UTC-0300,9cX1oNetDs,com.sec.android.app.shealth,2025-12-12 00:17:41.001,88cb87d3-7dba-4584-a21d-e5428edc298d,
2023-10-11 17:21:45.001,,2023-10-11 17:27:06.844,2023-10-11 17:27:06.844,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-11 17:22:04.001,7879f0a6-71e2-4ced-a18d-2411d77f5483,
2023-10-14 11:30:47.000,,2023-10-14 12:25:25.866,2023-10-14 12:25:25.866,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 11:30:54.000,9b514d12-3a31-44f2-bf72-fd38a30bfb9f,
2023-10-14 14:06:03.000,,2023-10-14 14:13:26.166,2023-10-14 14:13:26.166,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 14:06:16.000,b72be256-4eba-4592-be33-fca775a03ac3,
2023-10-14 14:31:15.000,,2023-10-14 14:50:14.922,2023-10-14 14:50:14.922,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 14:31:30.000,ccaa99c6-0da6-421d-8810-f89ce84fe252,
2023-10-14 13:53:31.000,,2023-10-14 13:55:57.126,2023-10-14 13:55:57.126,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 13:53:40.000,37c049db-2227-4bd2-b531-b4f010a7cd15,
2023-10-14 15:54:18.000,,2023-10-14 16:10:01.394,2023-10-14 16:10:01.394,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 15:54:38.000,039e4903-e478-4f09-836b-aeb64b21459c,
2023-10-15 02:09:24.000,,2023-10-15 02:24:25.481,2023-10-15 02:24:25.481,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 02:09:34.000,438ee3c5-023e-4a2a-b4ea-c1d535c552db,
2023-10-14 23:14:01.000,,2023-10-14 23:41:30.349,2023-10-14 23:41:30.349,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-14 23:14:15.000,39b7e0b0-9471-4252-868e-431551648659,
2023-10-15 02:19:35.000,,2023-10-15 02:24:25.926,2023-10-15 02:24:25.926,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 02:19:42.000,55d6c5a7-b61d-4986-9094-09065eaa4a63,
2023-10-15 13:09:08.000,,2023-10-15 14:37:19.382,2023-10-15 14:37:19.382,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 13:09:29.000,041920aa-cc90-45a6-9fa3-6da82437a307,
2023-10-15 12:46:42.000,,2023-10-15 14:37:19.005,2023-10-15 14:37:19.005,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 12:46:54.000,bc695bf6-5703-4427-ad92-b480eab9efef,
2023-10-15 13:04:50.000,,2023-10-15 14:37:19.266,2023-10-15 14:37:19.266,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 13:04:56.000,4373a13d-e604-4608-8781-2de500e4df22,
2023-10-15 13:12:25.000,,2023-10-15 14:37:20.109,2023-10-15 14:37:19.893,,,3.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 13:13:29.000,d54459e1-0b69-4664-bfd7-7b220dbf7e04,
2023-10-15 17:14:43.009,,2023-10-15 17:16:16.748,2023-10-15 17:16:16.748,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 17:14:58.009,65036d2a-db5a-4a8d-adc4-6be0f417aea6,
2023-10-15 23:01:02.001,,2023-10-15 23:03:19.363,2023-10-15 23:03:19.206,,,2.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 23:01:34.000,b74bc9d1-122f-4a09-9a77-fc629209b97f,
2023-10-15 17:58:10.000,,2023-10-15 19:13:20.297,2023-10-15 19:13:20.297,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-15 17:58:18.000,5ed28718-de99-40f1-a2b6-f5a14736bb10,
2023-10-16 13:08:17.000,,2023-10-16 13:23:43.433,2023-10-16 13:23:43.433,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-16 13:08:25.000,5ff281fb-5861-466a-99c9-ed2fa24cb631,
2023-10-16 23:21:48.011,,2023-10-16 23:29:13.671,2023-10-16 23:29:13.671,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-16 23:21:55.011,68db76ed-4fec-4af7-b536-bce8fe25e386,
2023-10-16 22:25:28.001,,2023-10-16 22:27:34.836,2023-10-16 22:27:34.836,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-16 22:25:46.001,1571f506-f266-4e0e-ab02-2c48811d686c,
2023-10-18 00:48:48.002,,2023-10-18 00:51:06.391,2023-10-18 00:51:06.391,,,1.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-18 00:48:54.002,a6856f64-4a14-40ff-9f47-591cad4808df,
2023-10-19 03:00:00.179,,2023-10-20 03:00:00.285,2023-10-19 04:12:47.329,,,7.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-20 03:00:00.150,4d569d2e-eba8-4b9f-be32-b316bb8af064,
2023-10-21 03:00:00.028,,2023-10-22 03:00:00.256,2023-10-21 11:51:02.532,,,6.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-22 03:00:00.138,9e082590-abcd-4554-a993-9c7fc9a47296,
2023-10-22 03:00:00.138,,2023-10-23 03:00:00.339,2023-10-22 19:13:20.304,,,6.0,,UTC-0300,60rRju/E5J,com.sec.android.app.shealth,2023-10-23 03:00:00.155,4f733cfe-e00d-4aa1-be4b-cadbb7a4765f,
