com.samsung.shealth.exercise,6307003,17
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.client_data_id,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.client_data_ver,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,710000,,,,,2023-11-19 16:06:10.000,1001,,,,,30001,,,,,2023-11-19 16:28:57.847,2023-11-19 16:28:57.847,,,1.9444444,,,,1321,1033.6901,,40.05,,,,UTC-0300,zygK3IiKBU,,,d46562a4-8a0d-44ca-814f-dad1a2988832.com.samsung.health.exercise.live_data.json,,1.4559014,com.sec.android.app.shealth,,,,,2023-11-19 16:18:00.000,d46562a4-8a0d-44ca-814f-dad1a2988832,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,780000,,,,,2023-11-24 23:07:00.000,1001,,,,,30001,,,,,2023-11-24 23:32:48.443,2023-11-24 23:32:48.443,,,2.1388888,,,,1308,949.72,,40.14,,,,UTC-0300,zygK3IiKBU,,,5993a591-9e66-427a-800c-728d47861dd3.com.samsung.health.exercise.live_data.json,,1.2175897,com.sec.android.app.shealth,,,,,2023-11-24 23:20:00.000,5993a591-9e66-427a-800c-728d47861dd3,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,779000,,,,,2023-11-25 13:05:01.000,1001,,,,,30001,,,,,2023-11-25 13:32:33.014,2023-11-25 13:32:33.014,,,1.7222222,,,,1372,1003.43,,41.42,,,,UTC-0300,zygK3IiKBU,,,22a4d322-ba4e-44c0-9bae-ca85c824a1ee.com.samsung.health.exercise.live_data.json,,1.2881,com.sec.android.app.shealth,,,,,2023-11-25 13:18:00.000,22a4d322-ba4e-44c0-9bae-ca85c824a1ee,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,660000,,,,,2023-11-25 16:58:00.000,1001,,,,,30001,,,,,2023-11-25 17:30:07.830,2023-11-25 17:30:07.830,,,1.8611112,,,,1219,903.08,,37.83,,,,UTC-0300,zygK3IiKBU,,,626d618c-ad57-45c9-ade4-89f409d1da42.com.samsung.health.exercise.live_data.json,,1.3683031,com.sec.android.app.shealth,,,,,2023-11-25 17:09:00.000,626d618c-ad57-45c9-ade4-89f409d1da42,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,922000,,,,,2023-12-03 18:41:38.000,1001,,,,,30001,,,,,2023-12-03 19:03:35.664,2023-12-03 19:03:35.664,,,1.9444444,,,,1833,1457.55,,57.079998,,,,UTC-0300,zygK3IiKBU,,,ed163dde-b201-4b26-b919-9d05bc84081e.com.samsung.health.exercise.live_data.json,,1.5808568,com.sec.android.app.shealth,,,,,2023-12-03 18:57:00.000,ed163dde-b201-4b26-b919-9d05bc84081e,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,1658000,,,,,2023-12-03 20:45:22.000,1001,,,,,30001,,,,,2023-12-03 21:32:46.199,2023-12-03 21:32:46.199,,,2.6388888,,,,2944,2525.83,,111.74,,,,UTC-0300,zygK3IiKBU,,,370994aa-69b9-4982-a121-7cd7635d8432.com.samsung.health.exercise.live_data.json,,1.5234197,com.sec.android.app.shealth,,,,,2023-12-03 21:13:00.000,370994aa-69b9-4982-a121-7cd7635d8432,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,655000,,,,,2023-12-05 22:25:05.000,1001,,,,,30001,,,,,2023-12-05 22:43:44.449,2023-12-05 22:43:44.449,,,1.75,,,,1058,832.4,,32.41,,,,UTC-0300,zygK3IiKBU,,,3fe5a9a3-bc44-4027-8634-6af5da8925a6.com.samsung.health.exercise.live_data.json,,1.2708396,com.sec.android.app.shealth,,,,,2023-12-05 22:36:00.000,3fe5a9a3-bc44-4027-8634-6af5da8925a6,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,712000,,,,,2023-12-08 20:25:08.000,1001,,,,,30001,,,,,2023-12-08 21:41:20.262,2023-12-08 21:41:20.262,,,1.5831357,,,,1310,957.67,,39.36,,,,UTC-0300,zygK3IiKBU,,,83e4b452-5472-4d4a-baa9-47f64fe05219.com.samsung.health.exercise.live_data.json,,1.3450422,com.sec.android.app.shealth,,,,,2023-12-08 20:37:00.000,83e4b452-5472-4d4a-baa9-47f64fe05219,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,779649,,,,,2023-12-09 12:39:00.000,1001,,,,,30001,,,,,2023-12-09 12:53:30.604,2023-12-09 12:53:30.604,,,1.6909733,,,,1334,985.89,,40.86,,,,UTC-0300,zygK3IiKBU,,,46424d11-5df1-4ca4-a0d0-68928ea5125f.com.samsung.health.exercise.live_data.json,,1.2645305,com.sec.android.app.shealth,,,,,2023-12-09 12:52:00.000,46424d11-5df1-4ca4-a0d0-68928ea5125f,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,659607,,,,,2023-12-11 21:21:00.000,1001,,,,,30001,,,,,2023-12-11 21:33:52.425,2023-12-11 21:33:52.425,,,3.5,,,,1370,1221.72,,63.34,,,,UTC-0300,zygK3IiKBU,,,c4dbdda0-3714-499e-ae24-37367ec47a90.com.samsung.health.exercise.live_data.json,,1.8521937,com.sec.android.app.shealth,,,,,2023-12-11 21:32:00.000,c4dbdda0-3714-499e-ae24-37367ec47a90,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,720000,,,,,2023-12-13 00:43:00.000,1001,,,,,30001,,,,,2023-12-13 00:56:23.947,2023-12-13 00:56:23.947,,,1.4166666,,,,1243,893.4,,37.36,,,,UTC-0300,zygK3IiKBU,,,782747d4-6647-4e45-83d3-2f574059d463.com.samsung.health.exercise.live_data.json,,1.2408333,com.sec.android.app.shealth,,,,,2023-12-13 00:55:00.000,782747d4-6647-4e45-83d3-2f574059d463,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,658000,,,,,2023-12-17 23:48:02.000,1001,,,,,30001,,,,,2023-12-18 00:00:44.506,2023-12-18 00:00:44.506,,,1.6666666,,,,1294,956.94,,39.66,,,,UTC-0300,zygK3IiKBU,,,4019197a-6382-479e-883c-cc02875693a4.com.samsung.health.exercise.live_data.json,,1.4543161,com.sec.android.app.shealth,,,,,2023-12-17 23:59:00.000,4019197a-6382-479e-883c-cc02875693a4,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,1500000,,,,,2023-12-24 11:53:00.000,1001,,,,,30001,,,,,2023-12-24 12:19:21.375,2023-12-24 12:19:21.375,,,2.0063396,,,,2572,1910.45,,79.98,,,,UTC-0300,zygK3IiKBU,,,8282db7d-5585-4b69-b99c-e6e36ec01dcf.com.samsung.health.exercise.live_data.json,,1.2736334,com.sec.android.app.shealth,,,,,2023-12-24 12:18:00.000,8282db7d-5585-4b69-b99c-e6e36ec01dcf,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,838000,,,,,2023-12-24 17:20:02.000,1001,,,,,30001,,,,,2023-12-24 17:54:44.522,2023-12-24 17:54:44.522,,,1.3611112,,,,1510,1079.97,,45.54,,,,UTC-0300,zygK3IiKBU,,,e824858f-c5dd-4536-b744-738b404414c8.com.samsung.health.exercise.live_data.json,,1.2887471,com.sec.android.app.shealth,,,,,2023-12-24 17:34:00.000,e824858f-c5dd-4536-b744-738b404414c8,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,779347,,62600630,,,2024-01-01 21:39:00.000,1001,,,,,30001,,,62600630,,2024-01-01 22:09:03.486,2024-01-01 22:09:03.486,,,1.6265764,,,,1499,1163.49,,45.03,,,,UTC-0300,zygK3IiKBU,,,36b237bf-896c-4f1c-a534-d6f5d71617b5.com.samsung.health.exercise.live_data.json,,1.4929036,com.sec.android.app.shealth,,,,,2024-01-01 21:52:00.000,36b237bf-896c-4f1c-a534-d6f5d71617b5,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,880000,,62600630,,,2024-01-01 23:22:20.000,1001,,,,,30001,,,62600630,,2024-01-01 23:38:30.312,2024-01-01 23:38:30.312,,,2.5555556,,,,1596,1341.94,,58.24,,,,UTC-0300,zygK3IiKBU,,,3dce4f15-2766-4263-83ce-e3c8afbf1969.com.samsung.health.exercise.live_data.json,,1.5249319,com.sec.android.app.shealth,,,,,2024-01-01 23:37:00.000,3dce4f15-2766-4263-83ce-e3c8afbf1969,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,652000,,62600630,,,2024-01-07 21:31:08.000,1001,,,,,30001,,,62600630,,2024-01-07 21:55:02.806,2024-01-07 21:55:02.806,,,1.8333334,,,,1109,852.69,,37.09,,,,UTC-0300,zygK3IiKBU,,,02791e64-a1ff-4e07-8e2a-66ff207687b8.com.samsung.health.exercise.live_data.json,,1.3078066,com.sec.android.app.shealth,,,,,2024-01-07 21:42:00.000,02791e64-a1ff-4e07-8e2a-66ff207687b8,,
116165d4-8d48-4cf3-8a29-ded58971de44.live_data_internal.json,,0,,,,1.3439041,,,,,116165d4-8d48-4cf3-8a29-ded58971de44.sensing_status.json,1,,,,,,,,,,,,,,,16294,,62600630,,,2024-01-09 16:50:01.868,1002,,,,131.0,30001,,,62600630,133.0,2024-01-09 16:51:06.242,2024-01-09 16:51:06.242,,,,,130.0,,0,0.0,,0.576,,,,UTC-0300,60rRju/E5J,,,116165d4-8d48-4cf3-8a29-ded58971de44.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,0.0,,,,2024-01-09 16:51:04.749,116165d4-8d48-4cf3-8a29-ded58971de44,,
a67d79ed-8218-4a50-b5f3-23a6d19f0aea.live_data_internal.json,,0,,,,59.27392,,,,,a67d79ed-8218-4a50-b5f3-23a6d19f0aea.sensing_status.json,1,,,,,,,,,,,,,,,315358,,62600630,,,2024-01-09 16:51:12.423,1001,,752.078,,138.0,30001,,742.26,62600630,158.0,2024-01-09 17:03:55.917,2024-01-09 17:03:55.917,,,2.318,65.449425,121.0,,344,249.638,,51.907,148.453,,,UTC-0300,60rRju/E5J,,,a67d79ed-8218-4a50-b5f3-23a6d19f0aea.com.samsung.health.exercise.live_data.json,,0.7916019,com.sec.android.app.shealth,0.0,,,,2024-01-09 17:03:54.715,a67d79ed-8218-4a50-b5f3-23a6d19f0aea,,
012ea6aa-810e-4594-ae67-2b38d07a1f6a.live_data_internal.json,,0,,,,275.24997,,,,,012ea6aa-810e-4594-ae67-2b38d07a1f6a.sensing_status.json,1,,,,,,,,,,,,,,,2517933,,62600630,,,2024-01-09 17:04:01.245,15002,,,,134.0,,,,62600630,174.0,2024-01-09 17:46:00.206,2024-01-09 17:46:00.206,,,,,104.0,,,0.0,,275.24997,,,,UTC-0300,60rRju/E5J,,,012ea6aa-810e-4594-ae67-2b38d07a1f6a.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2024-01-09 17:45:59.178,012ea6aa-810e-4594-ae67-2b38d07a1f6a,,
12b9e492-5edb-49d7-967f-d4ac6be91405.live_data_internal.json,,0,,-46.63413,,33.105846,,,,,12b9e492-5edb-49d7-967f-d4ac6be91405.sensing_status.json,1,,,,,,,,-23.560581,,,,12b9e492-5edb-49d7-967f-d4ac6be91405.location_data_internal.json,,,209213,,62600630,,12b9e492-5edb-49d7-967f-d4ac6be91405.com.samsung.health.exercise.location_data.json,2024-01-10 19:48:05.374,1001,,760.615,,140.0,30001,,754.721,62600630,163.0,2024-01-10 19:55:18.092,2024-01-10 19:55:18.092,,,2.064,59.652122,119.0,,208,194.1,,29.456,148.717,,,UTC-0300,60rRju/E5J,,,12b9e492-5edb-49d7-967f-d4ac6be91405.com.samsung.health.exercise.live_data.json,,0.9277626,com.sec.android.app.shealth,0.0,,,,2024-01-10 19:55:16.015,12b9e492-5edb-49d7-967f-d4ac6be91405,,
59d6e4a5-970d-4310-9ee1-1cc6208a22c4.live_data_internal.json,,0,,,,169.54001,,,,,59d6e4a5-970d-4310-9ee1-1cc6208a22c4.sensing_status.json,1,,,,,,,,,,,,,,,1677172,,62600630,,,2024-01-10 19:55:36.538,15002,,,,124.0,,,,62600630,145.0,2024-01-10 20:23:34.877,2024-01-10 20:23:34.877,,,,,100.0,,,0.0,,169.54001,,,,UTC-0300,60rRju/E5J,,,59d6e4a5-970d-4310-9ee1-1cc6208a22c4.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,,,,,2024-01-10 20:23:33.710,59d6e4a5-970d-4310-9ee1-1cc6208a22c4,,
4bcf0d27-92d4-422d-b40a-31fec1733474.live_data_internal.json,,0,,,,72.489,,,,,4bcf0d27-92d4-422d-b40a-31fec1733474.sensing_status.json,1,,,,,,,,,,,,,,,656801,,62600630,,,2024-01-10 20:25:40.240,11007,,751.185,,136.0,,,747.885,62600630,154.0,2024-01-10 20:36:38.172,2024-01-10 20:36:38.172,,,,,118.0,,0,0.0,,72.489,,,,UTC-0300,60rRju/E5J,,,4bcf0d27-92d4-422d-b40a-31fec1733474.com.samsung.health.exercise.live_data.json,,0.0,com.sec.android.app.shealth,0.0,,,,2024-01-10 20:36:37.041,4bcf0d27-92d4-422d-b40a-31fec1733474,,
