com.samsung.health.food_intake,6307003,6
create_sh_ver,start_time,amount,custom,modify_sh_ver,update_time,create_time,meal_type,client_data_id,name,unit,client_data_ver,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
,2023-10-12 17:29:15.872,16.0,,,2023-10-12 17:29:54.516,2023-10-12 17:29:54.516,100005,,Shot(Lacta),120002,,85.12,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,f33d4f71-d47e-4c6f-8bc5-65d2fff97ca3,c02bf58d-ee96-4464-aa4c-3b2aa6a0a9a3,
,2023-10-13 14:35:10.445,100.0,,,2023-10-13 14:36:17.859,2023-10-13 14:36:17.859,100001,,Mamão Formosa,120002,,45.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,542613bd-5952-4a4f-8e6d-d2a71418511b,e58405d7-eaaf-4158-a528-1fa65aac5af8,
,2023-10-13 14:35:10.445,0.5,,,2023-10-13 14:36:17.859,2023-10-13 14:36:17.859,100001,,Leite,120001,,61.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,f772e434-6c02-413e-8ca7-38fa692e54d5,98b6dfd9-f451-4f7c-ab80-2720c13df21e,
,2023-10-13 14:35:10.445,1.0,,,2023-10-13 14:36:17.859,2023-10-13 14:36:17.859,100001,,Aveia em Flocos,120001,,53.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,0bf658f9-d11f-484a-9532-1b3cc479fb62,6c77dea7-7164-41a1-ab8c-13eac1644e14,
,2023-10-13 14:35:10.445,1.0,,,2023-10-13 14:36:17.859,2023-10-13 14:36:17.859,100001,,Semente de Chia(Sabor da Terra),120001,,58.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,92242355-fbbe-4d63-a760-9353e0a14d65,7738de43-db2b-44de-91b8-65a31dd3789c,
,2023-10-13 15:54:11.545,0.7,,,2023-10-13 15:55:53.079,2023-10-13 15:55:53.079,100002,,Feijão Cozido(Carioca),120001,,53.2,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,9b40e651-dfba-461c-8818-cd25bbd4e2ea,a63e96de-6e90-4853-b133-dc69ad4beab5,
,2023-10-13 15:54:11.545,3.0,,,2023-10-13 15:55:53.079,2023-10-13 15:55:53.079,100002,,Arroz Branco (Cozido),120001,,96.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,e56865d8-189c-4b2e-8b27-2707917935d2,895a573b-74da-493e-a80d-915a8c0cc9ef,
,2023-10-13 15:54:11.545,4.0,,,2023-10-13 15:55:53.080,2023-10-13 15:55:53.080,100002,,Carne Moída Refogada,120001,,212.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,bc9661e3-2ac5-45c7-834c-42ad88dd2b83,334acad6-ef08-4bce-abde-e22365f3e6ab,
,2023-10-13 21:52:25.894,1.0,,,2023-10-13 21:52:50.822,2023-10-13 21:52:50.822,100005,,Queijo Mussarela Fatiado(Crioulo),120001,,105.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,c133f547-61da-46e3-b08a-85f211b7ee3a,93ce3cda-7fbf-49c6-8eb8-e90ef182a378,
,2023-10-13 21:52:25.894,1.0,,,2023-10-13 21:52:50.822,2023-10-13 21:52:50.822,100005,,Ovo Frito sem Gordura,120001,,73.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,b0fe8711-0214-4b61-b91f-73a8472a6c58,16151307-2ac0-4af4-8566-e3394cf2368e,
,2023-10-14 02:15:50.789,2.0,,,2023-10-14 02:16:38.172,2023-10-14 02:16:38.172,100003,,Ovo Frito sem Gordura,120001,,146.0,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,28a1567f-e7db-4976-bda6-3431049755e2,16151307-2ac0-4af4-8566-e3394cf2368e,
,2023-10-14 02:15:50.789,0.7,,,2023-10-14 02:16:38.172,2023-10-14 02:16:38.172,100003,,Feijão Cozido(Carioca),120001,,53.2,UTC-0300,zygK3IiKBU,,com.sec.android.app.shealth,3ff88d78-874c-44ed-ba92-9f820c579f0a,a63e96de-6e90-4853-b133-dc69ad4beab5,
