com.samsung.shealth.activity.day_summary,6307003,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:41.990,10,2025-12-10 14:24:01.650,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ed83c939-2086-416e-82ca-b1040dc76886.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,ed83c939-2086-416e-82ca-b1040dc76886,2025-11-25 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.083,10,2025-12-10 14:24:01.682,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,096a6e6c-9b86-44a3-87ad-80a9c4e12176.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,096a6e6c-9b86-44a3-87ad-80a9c4e12176,2025-11-24 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.188,10,2025-12-10 14:24:01.735,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,0b84382b-8992-4c4f-a4b1-8aa50a49f224.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,0b84382b-8992-4c4f-a4b1-8aa50a49f224,2025-11-23 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.277,10,2025-12-10 14:24:01.756,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,cae4bfdc-3b6f-4a9b-8dd5-5b0545cd183c.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,cae4bfdc-3b6f-4a9b-8dd5-5b0545cd183c,2025-11-22 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.342,10,2025-12-10 14:24:01.789,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,5fb300ac-7479-4f89-9fb7-280c1b427364.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,5fb300ac-7479-4f89-9fb7-280c1b427364,2025-11-21 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.411,10,2025-12-10 14:24:01.824,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,30046099-61c6-43fd-a26c-3d271f2917ce.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,30046099-61c6-43fd-a26c-3d271f2917ce,2025-11-20 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.473,10,2025-12-10 14:24:01.867,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,db9106a6-4f83-499a-8ad3-9bd41707da5a.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,db9106a6-4f83-499a-8ad3-9bd41707da5a,2025-11-19 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63070030,2025-12-16 01:01:42.540,10,2025-12-10 14:24:01.916,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,de9ee848-4b95-452e-82e5-3663267cefb7.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,de9ee848-4b95-452e-82e5-3663267cefb7,2025-11-18 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63060070,2025-12-12 02:21:20.585,10,2025-12-10 14:24:01.955,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,055a275c-eb5d-42c3-9253-6d6622b2a4c0.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,055a275c-eb5d-42c3-9253-6d6622b2a4c0,2025-11-17 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63060070,2025-12-12 02:21:20.644,10,2025-12-10 14:24:02.005,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,d326f134-529b-4453-ac2d-18ea8e25b4c8.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,d326f134-529b-4453-ac2d-18ea8e25b4c8,2025-11-16 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63060070,2025-12-12 02:21:20.705,10,2025-12-10 14:24:02.043,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,fe362af8-9386-48ca-8153-11301b23da84.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,fe362af8-9386-48ca-8153-11301b23da84,2025-11-15 00:00:00.000,
0,63060070,0,0,0,200,0,60,0,63060070,2025-12-12 02:21:20.752,10,2025-12-10 14:24:02.076,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,8089b029-c8f6-4a6a-bbe8-c62a76337afa.extra_data.json,bvFPH0+ZC9,0,com.sec.android.app.shealth,0,86400000,8089b029-c8f6-4a6a-bbe8-c62a76337afa,2025-11-14 00:00:00.000,
