com.samsung.shealth.tracker.floors_day_summary,6307003,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
63060070,,63060070,2025-12-12 13:16:13.248,2025-12-12 13:16:13.248,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,7e8f4e54-0da4-4ef4-8441-0f7683758b59,1703116800000,
63060070,,63060070,2025-12-12 13:16:13.256,2025-12-12 13:16:13.256,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,4e0fe0c4-cd57-449a-899d-cd5c977b58a4,1719273600000,
63060070,,63060070,2025-12-12 13:16:13.264,2025-12-12 13:16:13.264,8,1,bvFPH0+ZC9,com.sec.android.app.shealth,b152c760-2d70-49bb-9bc2-4b12a25201cc,1699660800000,
63060070,,63060070,2025-12-12 13:16:13.277,2025-12-12 13:16:13.277,18,1,bvFPH0+ZC9,com.sec.android.app.shealth,fee71716-9b2e-49a9-819a-bf1f4b845610,1704844800000,
63060070,,63060070,2025-12-12 13:16:13.286,2025-12-12 13:16:13.286,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,98d5adbc-d98f-42cc-b871-65b7da650d80,1726790400000,
63060070,,63060070,2025-12-12 13:16:13.300,2025-12-12 13:16:13.300,10,1,bvFPH0+ZC9,com.sec.android.app.shealth,5317141c-a0c8-4e82-a4bb-96f944e7ab50,1697328000000,
63060070,,63060070,2025-12-12 13:16:13.312,2025-12-12 13:16:13.312,16,1,bvFPH0+ZC9,com.sec.android.app.shealth,8d3f3521-5ed2-400d-976b-9992a61d3d7f,1699056000000,
63060070,,63060070,2025-12-12 13:16:13.322,2025-12-12 13:16:13.322,4,1,bvFPH0+ZC9,com.sec.android.app.shealth,b54d12ba-ec9c-4a24-843e-195e80ad8dcf,1716940800000,
63060070,,63060070,2025-12-12 13:16:13.331,2025-12-12 13:16:13.331,1,1,bvFPH0+ZC9,com.sec.android.app.shealth,3a2285ab-c3f9-4647-a590-8b2d5826e487,1725062400000,
63060070,,63060070,2025-12-12 13:16:13.343,2025-12-12 13:16:13.343,14,1,bvFPH0+ZC9,com.sec.android.app.shealth,c3cc2a34-c48a-438f-a9f5-72ec81fcf8d8,1718150400000,
63060070,,63060070,2025-12-12 13:16:13.353,2025-12-12 13:16:13.353,3,1,bvFPH0+ZC9,com.sec.android.app.shealth,95232e77-2d77-42dd-840f-9194b9eb7e94,1725580800000,
63060070,,63060070,2025-12-12 13:16:13.362,2025-12-12 13:16:13.362,2,1,bvFPH0+ZC9,com.sec.android.app.shealth,0a00dc39-67c7-4ca7-bd35-b0cf5427f1b6,1700265600000,
